rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,CAR,CAR,1697.6,125,73,125-73,0.631,0,,,
2,BUF,BUF,1599.8,93,84,93-84,0.525,0,,,
3,COL,Avalanche,1593.6,115,69,115-69,0.625,0,,,
4,MTL,MTL,1581.7,98,90,98-90,0.521,0,,,
5,VGK,VGK,1576.9,108,89,108-89,0.548,0,,,
6,TBL,TBL,1570.8,101,75,101-75,0.574,0,,,
7,DAL,Stars,1554.3,111,77,111-77,0.59,0,,,
8,WSH,Capitals,1541.2,99,75,99-75,0.569,0,,,
9,MIN,Wild,1537.7,98,83,98-83,0.541,0,,,
10,OTT,OTT,1530.7,91,83,91-83,0.523,0,,,
11,PHI,PHI,1530.4,80,94,80-94,0.46,0,,,
12,STL,STL,1518.6,84,87,84-87,0.491,0,,,
13,BOS,Bruins,1517.9,80,90,80-90,0.471,0,,,
14,NJD,NJD,1502.3,85,84,85-84,0.503,0,,,
15,UTA,UTA,1500.3,83,87,83-87,0.488,0,,,
16,CBJ,CBJ,1495.3,80,84,80-84,0.488,0,,,
17,PIT,PIT,1493.6,77,93,77-93,0.453,0,,,
18,NYI,Islanders,1493.5,78,86,78-86,0.476,0,,,
19,EDM,EDM,1491.1,105,87,105-87,0.547,0,,,
20,ANA,ANA,1488.7,84,92,84-92,0.477,0,,,
21,FLA,FLA,1486.0,103,84,103-84,0.551,0,,,
22,NSH,NSH,1473.1,68,96,68-96,0.415,0,,,
23,DET,DET,1458.9,80,84,80-84,0.488,0,,,
24,CGY,CGY,1456.1,75,89,75-89,0.457,0,,,
25,SJS,SJS,1455.0,59,105,59-105,0.36,0,,,
26,WPG,Jets,1454.1,97,80,97-80,0.548,0,,,
27,NYR,Rangers,1448.3,73,91,73-91,0.445,0,,,
28,LAK,LAK,1432.5,85,89,85-89,0.489,0,,,
29,SEA,SEA,1405.5,69,95,69-95,0.421,0,,,
30,TOR,TOR,1392.4,91,86,91-86,0.514,0,,,
31,CHI,CHI,1372.3,54,110,54-110,0.329,0,,,
32,VAN,VAN,1350.1,63,101,63-101,0.384,0,,,
