kind,game_id,gameday,season,home_team,away_team,venue,start_time_utc,home_record,away_record,p_home_win,p_away_win,p_tie,derived_ml,p_home_win_derived,p_away_win_derived,mu_h,mu_a,mu_margin,mu_total,fair_spread,fair_total,spread_line,total_line,has_offer,p_cover_offered,p_push_offered,p_over_offered,p_under_offered,p_push_total_offered,home_score,away_score,total,margin,p_over_fair,p_cover_fair,y_over_fair,y_under_fair,y_push_fair,y_cover_fair,y_push_spread_fair,y_over_offered,y_under_offered,y_push_total_offered,y_cover_offered,y_push_spread_offered,y_home_win,decided,frame_view,pred_home,pred_away,p_home_cover_m8,p_push_m8,p_home_cover_m7,p_push_m7,p_home_cover_m6,p_push_m6,p_home_cover_m5,p_push_m5,p_home_cover_m4,p_push_m4,p_home_cover_m3,p_push_m3,p_home_cover_m2,p_push_m2,p_home_cover_m1,p_push_m1,p_home_cover_0,p_push_0,p_home_cover_1,p_push_1,p_home_cover_2,p_push_2,p_home_cover_3,p_push_3,p_home_cover_4,p_push_4,p_home_cover_5,p_push_5,p_home_cover_6,p_push_6,p_home_cover_7,p_push_7,p_home_cover_8,p_push_8,p_home_cover_m0_5,p_home_cover_0_5,p_over_4,p_under_4,p_push_total_4,p_over_5,p_under_5,p_push_total_5,p_over_6,p_under_6,p_push_total_6,p_over_7,p_under_7,p_push_total_7,p_over_8,p_under_8,p_push_total_8,p_over_9,p_under_9,p_push_total_9,p_over_10,p_under_10,p_push_total_10,p_over_11,p_under_11,p_push_total_11,p_over_12,p_under_12,p_push_total_12
oof,2024020187,2024-11-03,2024,BOS,SEA,TD Garden,2024-11-03T22:00:00Z,80-90,69-95,0.49730573703290565,0.5026942629670943,0.1567,0.3155,0.4450247174034261,0.3982752825965739,2.8639057239547347,3.5902297915836043,-0.7263240676288696,6.454135515538339,-1.0,6.0,,,False,,,,,,2.0,0.0,2.0,2.0,0.4703,0.4722,0.0,1.0,0.0,1.0,0.0,,,,,,1.0,True,oof,2.8639057239547347,3.5902297915836043,0.994,0.004,0.9856,0.0084,0.9681,0.0175,0.9266,0.0415,0.8641,0.0625,0.7631,0.101,0.6288,0.1343,0.4722,0.1566,0.3155,0.1567,0.18700000000000003,0.12850000000000003,0.1002,0.0868,0.0457,0.0545,0.017800000000000003,0.027900000000000005,0.0068,0.011,0.0024,0.0044,0.0008000000000000001,0.0016000000000000003,9.99999999e-10,0.0007999999992,0.4722,0.3155,0.7655,0.1194,0.1151,0.6226,0.2345,0.1429,0.4703,0.3774,0.1523,0.3245,0.5297,0.1458,0.2109,0.6755,0.1136,0.1229,0.7891,0.088,0.0697,0.8771,0.0532,0.037,0.9303,0.0327,0.0181,0.963,0.0189
oof,2024020185,2024-11-03,2024,NYR,NYI,Madison Square Garden,2024-11-03T18:00:00Z,73-91,78-86,0.560195269452037,0.439804730547963,0.1639,0.474,0.4878968758022223,0.3482031241977777,3.0406610573787103,2.7142516211703414,0.32640943620836893,5.754912678549052,0.0,5.0,,,False,,,,,,5.0,2.0,7.0,3.0,0.5146,0.474,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,True,oof,3.0406610573787103,2.7142516211703414,0.9995999990004,0.0003999999996,0.9974,0.0022,0.9923,0.0051,0.9781,0.0142,0.9509,0.0272,0.8878,0.0631,0.7869,0.1009,0.6379,0.149,0.474,0.1639,0.3094,0.1646,0.182,0.1274,0.095,0.087,0.0413,0.0537,0.0149,0.0264,0.0055,0.0094,0.0018000000000000002,0.0037000000000000006,0.0004,0.0014,0.6379,0.474,0.6807000000000001,0.17670000000000002,0.14260000000000003,0.5146,0.3193,0.1661,0.3615,0.4854,0.1531,0.2288,0.6385,0.1327,0.1365,0.7712,0.0923,0.0729,0.8635,0.0636,0.0354,0.9271,0.0375,0.0158,0.9646,0.0196,0.0063,0.9842,0.0095
oof,2024020189,2024-11-03,2024,MIN,TOR,Xcel Energy Center,2024-11-03T23:00:00Z,98-83,91-86,0.5809827675233249,0.4190172324766751,0.1354,0.6514,0.5454740193852751,0.31912598061472497,4.175672721359261,2.618171137045082,1.5575015843141786,6.793843858404343,1.0,6.0,,,False,,,,,,2.0,1.0,3.0,1.0,0.5203,0.4964,0.0,1.0,0.0,0.0,1.0,,,,,,1.0,True,oof,4.175672721359261,2.618171137045082,0.9997999990001999,0.0001999999998,0.9989,0.0009,0.9966,0.0023,0.9907,0.0059,0.9753,0.0154,0.9449,0.0304,0.8825,0.0624,0.7868,0.0957,0.6514,0.1354,0.4964,0.155,0.3461,0.1503,0.22260000000000002,0.12350000000000001,0.1278,0.0948,0.0661,0.0617,0.0301,0.036,0.0139,0.0162,0.0054,0.0085,0.7868,0.6514,0.8054,0.0953,0.0993,0.6737,0.1946,0.1317,0.5203,0.3263,0.1534,0.3758,0.4797,0.1445,0.2474,0.6242,0.1284,0.1523,0.7526,0.0951,0.0857,0.8477,0.0666,0.0417,0.9143,0.044,0.0216,0.9583,0.0201
oof,2024020186,2024-11-03,2024,WPG,TBL,Canada Life Centre,2024-11-03T20:00:00Z,97-80,101-75,0.6060597181355862,0.39394028186441377,0.1429,0.6107,0.5343014140905967,0.32279858590940325,4.013235027543712,2.7739471834765808,1.2392878440671313,6.787182211020292,1.0,6.0,,,False,,,,,,7.0,4.0,11.0,3.0,0.5147,0.4601,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,True,oof,4.013235027543712,2.7739471834765808,0.9995999990004,0.0003999999996,0.9988,0.0008,0.9956,0.0032,0.9867,0.0089,0.9663,0.0204,0.9253,0.041,0.8566,0.0687,0.7536,0.103,0.6107,0.1429,0.4601,0.1506,0.3048,0.1553,0.1828,0.122,0.1027,0.0801,0.0541,0.0486,0.0262,0.0279,0.0092,0.017,0.0034,0.0058,0.7536,0.6107,0.8047000000000001,0.09510000000000002,0.10020000000000001,0.667,0.1953,0.1377,0.5147,0.333,0.1523,0.3711,0.4853,0.1436,0.2408,0.6289,0.1303,0.1495,0.7592,0.0913,0.0834,0.8505,0.0661,0.0449,0.9166,0.0385,0.0227,0.9551,0.0222
oof,2024020190,2024-11-03,2024,CGY,EDM,Scotiabank Saddledome,2024-11-04T01:00:00Z,75-89,105-87,0.552346135119836,0.447653864880164,0.1757,0.3115,0.4438448368559341,0.3804551631440659,2.334537228255125,2.92770561584156,-0.5931683875864349,5.262242844096685,-1.0,5.0,,,False,,,,,,2.0,4.0,6.0,-2.0,0.4324,0.4872,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,True,oof,2.334537228255125,2.92770561584156,0.9979,0.0017,0.9941,0.0038,0.9835,0.0106,0.9574,0.0261,0.8987,0.0587,0.8039,0.0948,0.659,0.1449,0.4872,0.1718,0.3115,0.1757,0.1707,0.1408,0.0844,0.0863,0.0334,0.051,0.0133,0.0201,0.005,0.0083,0.0013,0.0037,0.0003,0.001,0.0001,0.0002,0.4872,0.3115,0.6082,0.226,0.1658,0.4324,0.3918,0.1758,0.2797,0.5676,0.1527,0.1625,0.7203,0.1172,0.0865,0.8375,0.076,0.0449,0.9135,0.0416,0.0215,0.9551,0.0234,0.01,0.9785,0.0115,0.004,0.99,0.006
oof,2024020191,2024-11-03,2024,ANA,CHI,Honda Center,2024-11-04T01:00:00Z,84-92,54-110,0.48986465859483797,0.510135341405162,0.1667,0.3386,0.4517010153439458,0.38159898465605424,2.5973880906367537,3.103934302593356,-0.5065462119566022,5.701322393230109,-1.0,5.0,,,False,,,,,,2.0,4.0,6.0,-2.0,0.5085000000000001,0.5053,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,True,oof,2.5973880906367537,3.103934302593356,0.9968,0.002,0.9925,0.0043,0.9807,0.0118,0.9512,0.0295,0.896,0.0552,0.8036,0.0924,0.6693,0.1343,0.5053,0.164,0.3386,0.1667,0.1958,0.1428,0.09630000000000001,0.09950000000000002,0.0446,0.0517,0.016700000000000003,0.027900000000000005,0.0074,0.0093,0.0026000000000000003,0.0048000000000000004,0.0012,0.0014,0.0003,0.0009,0.5053,0.3386,0.6682,0.1816,0.1502,0.5085000000000001,0.33180000000000004,0.15970000000000004,0.3531,0.4915,0.1554,0.2192,0.6469,0.1339,0.1249,0.7808,0.0943,0.0649,0.8751,0.06,0.0317,0.9351,0.0332,0.0145,0.9683,0.0172,0.0056,0.9855,0.0089
oof,2024020188,2024-11-03,2024,CAR,WSH,Lenovo Center,2024-11-03T22:00:00Z,125-73,99-75,0.5003913894056894,0.4996086105943106,0.1465,0.3523,0.4555622904702411,0.39793770952975893,3.569454640108671,4.135706382581348,-0.566251742472677,7.705161022690019,-1.0,7.0,,,False,,,,,,4.0,2.0,6.0,2.0,0.5057,0.4988,0.0,1.0,0.0,1.0,0.0,,,,,,1.0,True,oof,3.569454640108671,4.135706382581348,0.994,0.0039,0.9836,0.0104,0.9611,0.0225,0.9224,0.0387,0.861,0.0614,0.7668,0.0942,0.6391,0.1277,0.4988,0.1403,0.3523,0.1465,0.2227,0.1296,0.1314,0.0913,0.072,0.0594,0.0323,0.0397,0.0149,0.0174,0.0055,0.0094,0.0023,0.0032,0.0004,0.0019,0.4988,0.3523,0.8812,0.0535,0.0653,0.7793,0.1188,0.1019,0.6489,0.2207,0.1304,0.5057,0.3511,0.1432,0.3635,0.4943,0.1422,0.2478,0.6365,0.1157,0.1581,0.7522,0.0897,0.0946,0.8419,0.0635,0.0511,0.9054,0.0435
oof,2024020192,2024-11-04,2024,NSH,LAK,Bridgestone Arena,2024-11-05T01:00:00Z,68-96,85-89,0.5949799275596526,0.40502007244034743,0.1539,0.5801,0.5261637996193432,0.31993620038065673,3.700210394714761,2.7004101089426658,0.9998002857720953,6.400620503657427,0.0,6.0,,,False,,,,,,0.0,3.0,3.0,-3.0,0.4547,0.5801,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,True,oof,3.700210394714761,2.7004101089426658,0.9995999990004,0.0003999999996,0.9985,0.0011,0.9952,0.0033,0.9886,0.0066,0.9686,0.02,0.9227,0.0459,0.8491,0.0736,0.734,0.1151,0.5801,0.1539,0.4121,0.168,0.2718,0.1403,0.1554,0.1164,0.08210000000000002,0.07330000000000002,0.0374,0.0447,0.014,0.0234,0.0064,0.0076,0.003,0.0034,0.734,0.5801,0.7663,0.1198,0.1139,0.612,0.2337,0.1543,0.4547,0.388,0.1573,0.3054,0.5453,0.1493,0.1881,0.6946,0.1173,0.1082,0.8119,0.0799,0.055,0.8918,0.0532,0.0272,0.945,0.0278,0.0118,0.9728,0.0154
oof,2024020193,2024-11-04,2024,EDM,NJD,Rogers Place,2024-11-05T01:30:00Z,105-87,85-84,0.4394189955527016,0.5605810044472984,0.1202,0.1662,0.3926189597835621,0.48718104021643793,2.255753385266551,4.1868027607303535,-1.9310493754638025,6.442556145996905,-2.0,6.0,,,False,,,,,,0.0,3.0,3.0,-3.0,0.4684,0.4358,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,True,oof,2.255753385266551,4.1868027607303535,0.9831,0.0094,0.9602,0.0229,0.9194,0.0408,0.8448,0.0746,0.7366,0.1082,0.5942,0.1424,0.4358,0.1584,0.2864,0.1494,0.1662,0.1202,0.0848,0.0814,0.0363,0.0485,0.0141,0.0222,0.0057,0.0084,0.0016,0.0041,0.0002,0.0014,0.0001,0.0001,9.99999999e-10,9.99999999e-05,0.2864,0.1662,0.7732,0.1111,0.1157,0.622,0.2268,0.1512,0.4684,0.378,0.1536,0.3215,0.5316,0.1469,0.2032,0.6785,0.1183,0.121,0.7968,0.0822,0.0671,0.879,0.0539,0.0345,0.9329,0.0326,0.0159,0.9655,0.0186
oof,2024020196,2024-11-05,2024,MTL,CGY,Centre Bell,2024-11-06T00:00:00Z,98-90,75-89,0.5473919068643329,0.4526080931356671,0.1594,0.5433,0.5165692397586318,0.32403076024136823,3.5284316385709116,2.7253955907467384,0.8030360478241731,6.2538272293176504,0.0,6.0,,,False,,,,,,2.0,3.0,5.0,-1.0,0.4341,0.5433,0.0,1.0,0.0,0.0,0.0,,,,,,0.0,True,oof,3.5284316385709116,2.7253955907467384,0.9991999990007999,0.0007999999992,0.9977,0.0015,0.9941,0.0036,0.9832,0.0109,0.9583,0.0249,0.9078,0.0505,0.8268,0.081,0.7027,0.1241,0.5433,0.1594,0.3812,0.1621,0.2381,0.1431,0.1333,0.1048,0.0673,0.066,0.0294,0.0379,0.0125,0.0169,0.0045,0.008,0.0015,0.003,0.7027,0.5433,0.7515000000000001,0.12920000000000004,0.11930000000000002,0.5984,0.2485,0.1531,0.4341,0.4016,0.1643,0.292,0.5659,0.1421,0.1818,0.708,0.1102,0.1031,0.8182,0.0787,0.056,0.8969,0.0471,0.0281,0.944,0.0279,0.0131,0.9719,0.015
