kind,game_id,gameday,season,home_team,away_team,venue,start_time_utc,home_record,away_record,p_home_win,p_away_win,p_tie,derived_ml,p_home_win_derived,p_away_win_derived,mu_h,mu_a,mu_margin,mu_total,fair_spread,fair_total,spread_line,total_line,has_offer,p_cover_offered,p_push_offered,p_over_offered,p_under_offered,p_push_total_offered,home_score,away_score,total,margin,p_over_fair,p_cover_fair,y_over_fair,y_under_fair,y_push_fair,y_cover_fair,y_push_spread_fair,y_over_offered,y_under_offered,y_push_total_offered,y_cover_offered,y_push_spread_offered,y_home_win,decided,frame_view,pred_home,pred_away,p_home_cover_m8,p_push_m8,p_home_cover_m7,p_push_m7,p_home_cover_m6,p_push_m6,p_home_cover_m5,p_push_m5,p_home_cover_m4,p_push_m4,p_home_cover_m3,p_push_m3,p_home_cover_m2,p_push_m2,p_home_cover_m1,p_push_m1,p_home_cover_0,p_push_0,p_home_cover_1,p_push_1,p_home_cover_2,p_push_2,p_home_cover_3,p_push_3,p_home_cover_4,p_push_4,p_home_cover_5,p_push_5,p_home_cover_6,p_push_6,p_home_cover_7,p_push_7,p_home_cover_8,p_push_8,p_home_cover_m0_5,p_home_cover_0_5,p_over_4,p_under_4,p_push_total_4,p_over_5,p_under_5,p_push_total_5,p_over_6,p_under_6,p_push_total_6,p_over_7,p_under_7,p_push_total_7,p_over_8,p_under_8,p_push_total_8,p_over_9,p_under_9,p_push_total_9,p_over_10,p_under_10,p_push_total_10,p_over_11,p_under_11,p_push_total_11,p_over_12,p_under_12,p_push_total_12
oof,2024020196,2024-11-05,2024,MTL,CGY,Centre Bell,2024-11-06T00:00:00Z,98-90,75-89,0.541481689364875,0.45851831063512505,0.1604,0.5073,0.511853284809222,0.327746715190778,3.2735324707610434,2.7065937318277995,0.5669387389332439,5.980126202588843,0.0,5.0,,,False,,,,,,2.0,3.0,5.0,-1.0,0.5592,0.5073,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,True,oof,3.2735324707610434,2.7065937318277995,0.999,0.0008,0.9979,0.0011,0.9917,0.0062,0.9774,0.0143,0.9519,0.0255,0.897,0.0549,0.8019,0.0951,0.6677,0.1342,0.5073,0.1604,0.3435,0.1638,0.2067,0.1368,0.1126,0.0941,0.0539,0.0587,0.0241,0.0298,0.0086,0.0155,0.0027,0.0059,0.0006,0.0021,0.6677,0.5073,0.7141,0.1552,0.1307,0.5592,0.2859,0.1549,0.3952,0.4408,0.164,0.255,0.6048,0.1402,0.1536,0.745,0.1014,0.0875,0.8464,0.0661,0.0452,0.9125,0.0423,0.0211,0.9548,0.0241,0.0095,0.9789,0.0116
oof,2024020198,2024-11-05,2024,NYI,PIT,UBS Arena,2024-11-06T00:30:00Z,78-86,77-93,0.5376715760809748,0.4623284239190252,0.153,0.237,0.4030355538724817,0.4439644461275183,2.2915637522273213,3.4713734417424296,-1.1798096895151082,5.762937193969751,-2.0,5.0,,,False,,,,,,4.0,3.0,7.0,1.0,0.5174,0.5583,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,True,oof,2.2915637522273213,3.4713734417424296,0.9947,0.0034,0.9843,0.0104,0.961,0.0233,0.9148,0.0462,0.8356,0.0792,0.7127,0.1229,0.5583,0.1544,0.39,0.1683,0.237,0.153,0.1315,0.1055,0.0591,0.0724,0.0238,0.0353,0.0076,0.0162,0.0025,0.0051,0.0007000000000000001,0.0018000000000000002,0.0002,0.0005,9.99999999e-10,0.0001999999998,0.39,0.237,0.6846,0.1721,0.1433,0.5174,0.3154,0.1672,0.3581,0.4826,0.1593,0.2298,0.6419,0.1283,0.1294,0.7702,0.1004,0.0719,0.8706,0.0575,0.0378,0.9281,0.0341,0.0182,0.9622,0.0196,0.0079,0.9818,0.0103
oof,2024020194,2024-11-05,2024,BUF,OTT,KeyBank Center,2024-11-06T00:00:00Z,93-84,91-83,0.5502806784433103,0.4497193215566897,0.1721,0.373,0.45117139307259224,0.3767286069274077,2.6252658919115617,2.884347170947269,-0.2590812790357071,5.509613062858831,-1.0,5.0,,,False,,,,,,5.0,1.0,6.0,4.0,0.4726,0.5451,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,True,oof,2.6252658919115617,2.884347170947269,0.9987,0.001,0.9955,0.0032,0.9857,0.0098,0.9645,0.0212,0.9151,0.0494,0.8329,0.0822,0.7039,0.129,0.5451,0.1588,0.373,0.1721,0.2231,0.1499,0.1143,0.1088,0.0505,0.0638,0.0213,0.0292,0.0069,0.0144,0.0032,0.0037,0.0008,0.0024,0.0003,0.0005,0.5451,0.373,0.6404,0.1982,0.1614,0.4726,0.3596,0.1678,0.3181,0.5274,0.1545,0.1963,0.6819,0.1218,0.1114,0.8037,0.0849,0.0537,0.8886,0.0577,0.0256,0.9463,0.0281,0.0108,0.9744,0.0148,0.0049,0.9892,0.0059
oof,2024020195,2024-11-05,2024,TOR,BOS,Scotiabank Arena,2024-11-06T00:00:00Z,91-86,80-90,0.5502806784433103,0.4497193215566897,0.1675,0.3706,0.4504005790804867,0.3820994209195133,2.714686846658113,3.026921083952442,-0.3122342372943292,5.741607930610555,-1.0,5.0,,,False,,,,,,4.0,0.0,4.0,4.0,0.5105,0.5381,0.0,1.0,0.0,1.0,0.0,,,,,,1.0,True,oof,2.714686846658113,3.026921083952442,0.9975,0.0016,0.9942,0.0033,0.9841,0.0101,0.9616,0.0225,0.9149,0.0467,0.8249,0.09,0.6993,0.1256,0.5381,0.1612,0.3706,0.1675,0.2244,0.1462,0.1199,0.1045,0.05390000000000001,0.06600000000000002,0.0212,0.0327,0.0083,0.0129,0.0026000000000000003,0.005700000000000001,0.0007,0.0019,9.999999990000001e-10,0.0006999999993,0.5381,0.3706,0.6808000000000001,0.17860000000000004,0.14060000000000003,0.5105,0.3192,0.1703,0.3479,0.4895,0.1626,0.2162,0.6521,0.1317,0.1246,0.7838,0.0916,0.0675,0.8754,0.0571,0.0322,0.9325,0.0353,0.0156,0.9678,0.0166,0.0071,0.9844,0.0085
oof,2024020200,2024-11-05,2024,MIN,LAK,Xcel Energy Center,2024-11-06T01:00:00Z,98-83,85-89,0.5524557737115136,0.44754422628848645,0.1622,0.4063,0.46170169065452704,0.37609830934547295,3.284661465090827,3.353790154204282,-0.06912868911345482,6.638451619295109,-1.0,6.0,,,False,,,,,,1.0,5.0,6.0,-4.0,0.4914,0.5685,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,True,oof,3.284661465090827,3.353790154204282,0.9975,0.0017,0.9924,0.0051,0.98,0.0124,0.952,0.028,0.9072,0.0448,0.8297,0.0775,0.7205,0.1092,0.5685,0.152,0.4063,0.1622,0.2666,0.1397,0.1489,0.1177,0.079,0.0699,0.0362,0.0428,0.0156,0.0206,0.004700000000000001,0.010900000000000002,0.0016,0.0031,0.0006,0.001,0.5685,0.4063,0.7957,0.0999,0.1044,0.6539,0.2043,0.1418,0.4914,0.3461,0.1625,0.3455,0.5086,0.1459,0.2227,0.6545,0.1228,0.1369,0.7773,0.0858,0.0826,0.8631,0.0543,0.0421,0.9174,0.0405,0.0209,0.9579,0.0212
oof,2024020197,2024-11-05,2024,CAR,PHI,Lenovo Center,2024-11-06T00:00:00Z,125-73,80-94,0.5398566697477954,0.46014333025220455,0.1609,0.5266,0.5177033269018093,0.3213966730981907,3.333048742250585,2.6522879340145784,0.6807608082360064,5.985336676265163,0.0,5.0,,,False,,,,,,6.0,4.0,10.0,2.0,0.5573,0.5266,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,True,oof,3.333048742250585,2.6522879340145784,0.9993,0.0005,0.998,0.0013,0.9947,0.0033,0.984,0.0107,0.9608,0.0232,0.9119,0.0489,0.8196,0.0923,0.6875,0.1321,0.5266,0.1609,0.36060000000000003,0.16600000000000004,0.22,0.1406,0.1213,0.0987,0.0599,0.0614,0.0266,0.0333,0.0102,0.0164,0.0036000000000000003,0.006600000000000001,0.0013,0.0023,0.6875,0.5266,0.7146,0.1541,0.1313,0.5573,0.2854,0.1573,0.3963,0.4427,0.161,0.2622,0.6037,0.1341,0.1596,0.7378,0.1026,0.0885,0.8404,0.0711,0.0449,0.9115,0.0436,0.0221,0.9551,0.0228,0.01,0.9779,0.0121
oof,2024020202,2024-11-05,2024,COL,SEA,Ball Arena,2024-11-06T02:00:00Z,115-69,69-95,0.5376715760809748,0.4623284239190252,0.1584,0.3878,0.45588716795955153,0.3857128320404485,3.118092052609081,3.3135977248446418,-0.1955056722355608,6.431689777453723,-1.0,6.0,,,False,,,,,,6.0,3.0,9.0,3.0,0.461,0.5462,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,True,oof,3.118092052609081,3.3135977248446418,0.9967,0.0022,0.9927,0.004,0.9799,0.0128,0.9538,0.0261,0.9025,0.0513,0.8179,0.0846,0.6919,0.126,0.5462,0.1457,0.3878,0.1584,0.2459,0.1419,0.139,0.1069,0.0703,0.0687,0.0286,0.0417,0.0123,0.0163,0.0043,0.008,0.0015,0.0028,0.0006000000000000001,0.0009000000000000001,0.5462,0.3878,0.7661,0.1207,0.1132,0.62,0.2339,0.1461,0.461,0.38,0.159,0.3206,0.539,0.1404,0.194,0.6794,0.1266,0.1116,0.806,0.0824,0.0604,0.8884,0.0512,0.0313,0.9396,0.0291,0.0134,0.9687,0.0179
oof,2024020203,2024-11-05,2024,ANA,VAN,Honda Center,2024-11-06T03:00:00Z,84-92,63-101,0.5440824123213724,0.45591758767862756,0.17120000000000002,0.318,0.4329682064121172,0.3958317935878828,2.4984935294732873,3.070379753033057,-0.5718862235597699,5.5688732825063445,-1.0,5.0,,,False,,,,,,1.0,5.0,6.0,-4.0,0.4867,0.4892,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,True,oof,2.4984935294732873,3.070379753033057,0.9969,0.0023,0.9902,0.0067,0.9771,0.0131,0.9515,0.0256,0.8965,0.055,0.801,0.0955,0.662,0.139,0.4892,0.1728,0.31800000000000006,0.17120000000000002,0.18510000000000001,0.13290000000000002,0.0937,0.0914,0.0407,0.053,0.0173,0.0234,0.0058,0.0115,0.0015,0.0043,0.0005,0.001,0.0002,0.0003,0.4892,0.318,0.6561,0.1956,0.1483,0.4867,0.3439,0.1694,0.325,0.5133,0.1617,0.1998,0.675,0.1252,0.1133,0.8002,0.0865,0.0595,0.8867,0.0538,0.0288,0.9405,0.0307,0.0123,0.9712,0.0165,0.0054,0.9877,0.0069
oof,2024020204,2024-11-05,2024,SJS,CBJ,SAP Center at San Jose,2024-11-06T03:30:00Z,59-105,80-84,0.5502806784433103,0.4497193215566897,0.1769,0.4656,0.4799278414267897,0.3431721585732103,2.667160825928182,2.382490913846274,0.28466991208190784,5.049651739774456,0.0,4.0,,,False,,,,,,2.0,1.0,3.0,1.0,0.5597,0.4656,0.0,1.0,0.0,1.0,0.0,,,,,,1.0,True,oof,2.667160825928182,2.382490913846274,0.9995,0.0003,0.9987,0.0008,0.9956,0.0031,0.9818,0.0138,0.9566,0.0252,0.8994,0.0572,0.797,0.1024,0.6425,0.1545,0.4656,0.1769,0.2835,0.1821,0.1531,0.1304,0.0753,0.0778,0.0303,0.045,0.0113,0.019,0.0038,0.0075,0.0012,0.0026,0.0003,0.0009,0.6425,0.4656,0.5597,0.2723,0.168,0.3842,0.4403,0.1755,0.2423,0.6158,0.1419,0.1385,0.7577,0.1038,0.0687,0.8615,0.0698,0.0334,0.9313,0.0353,0.0153,0.9666,0.0181,0.0057,0.9847,0.0096,0.0021,0.9943,0.0036
oof,2024020201,2024-11-05,2024,WPG,UTA,Canada Life Centre,2024-11-06T01:00:00Z,97-80,83-87,0.546064442680084,0.45393555731991597,0.1144,0.7319,0.5848862915039394,0.30071370849606055,4.379488777137599,2.2991192355612085,2.0803695415763905,6.678608012698808,2.0,6.0,,,False,,,,,,3.0,0.0,3.0,3.0,0.4999,0.4206,0.0,1.0,0.0,1.0,0.0,,,,,,1.0,True,oof,4.379488777137599,2.2991192355612085,0.9999999979999998,9.99999998e-10,0.9995999990004,0.0003999999996,0.9984,0.0012,0.9953,0.0031,0.9853,0.01,0.9634,0.0219,0.9187,0.0447,0.8463,0.0724,0.7319,0.1144,0.5809,0.151,0.4206,0.1603,0.276,0.1446,0.1646,0.1114,0.09020000000000002,0.07440000000000001,0.0447,0.0455,0.019,0.0257,0.0086,0.0104,0.8463,0.7319,0.7901,0.1034,0.1065,0.6524,0.2099,0.1377,0.4999,0.3476,0.1525,0.347,0.5001,0.1529,0.226,0.653,0.121,0.1364,0.774,0.0896,0.0759,0.8636,0.0605,0.0394,0.9241,0.0365,0.0181,0.9606,0.0213
