stadium,facility,teams,lat,lon,altitude_ft,roof,tz,source
MetLife Stadium,MetLife,NYG;NYJ,40.813528,-74.074361,30.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/MetLife_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
SoFi Stadium,SoFi,LALAC,33.953,-118.339,148.0,outdoor,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/SoFi_Stadium elevation:open-elevation(srtm) roof:open-air bowl with fixed canopy fetched:2026-08-31
New Era Field,Highmark,BUF,42.773029,-78.792192,761.0,outdoor,America/New_York,wiki:nominatim:Highmark Stadium (New York) elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Lincoln Financial Field,LincolnFinancial,PHI,39.900833,-75.1675,43.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Lincoln_Financial_Field elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
M&T Bank Stadium,MBank,BAL,39.278056,-76.622778,69.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/M&T_Bank_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
NRG Stadium,NRG,HOU,29.684858,-95.410802,49.0,retractable,America/Chicago,wiki:nominatim:NRG Stadium elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
Mercedes-Benz Superdome,Superdome,NO,29.950833,-90.081111,115.0,dome,America/Chicago,wiki:https://en.wikipedia.org/wiki/Caesars_Superdome elevation:open-elevation(srtm) roof:fixed fetched:2026-08-31
Ford Field,FordField,DET,42.34,-83.045556,610.0,dome,America/Detroit,wiki:https://en.wikipedia.org/wiki/Ford_Field elevation:open-elevation(srtm) roof:fixed fetched:2026-08-31
State Farm Stadium,StateFarm,ARI,33.528,-112.263,1060.0,retractable,America/Phoenix,wiki:https://en.wikipedia.org/wiki/State_Farm_Stadium elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
Gillette Stadium,Gillette,NE,42.091,-71.264,272.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Gillette_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Levi's Stadium,Levis,SF,37.403,-121.97,3.0,outdoor,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Levi's Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Raymond James Stadium,RaymondJames,TB,27.975833,-82.503333,72.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Raymond_James_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
AT&T Stadium,ATT,DAL,32.747778,-97.092778,581.0,retractable,America/Chicago,wiki:https://en.wikipedia.org/wiki/AT&T_Stadium elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
Lambeau Field,Lambeau,GB,44.501389,-88.062222,656.0,outdoor,America/Chicago,wiki:https://en.wikipedia.org/wiki/Lambeau_Field elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Hard Rock Stadium,HardRock,MIA,25.958056,-80.238889,43.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Hard_Rock_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Nissan Stadium,Nissan,TEN,36.166524,-86.771315,472.0,outdoor,America/Chicago,wiki:nominatim:Nissan Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Soldier Field,Soldier,CHI,41.8623,-87.6167,623.0,outdoor,America/Chicago,wiki:https://en.wikipedia.org/wiki/Soldier_Field elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Lucas Oil Stadium,LucasOil,IND,39.760056,-86.163806,709.0,retractable,America/Indiana/Indianapolis,wiki:https://en.wikipedia.org/wiki/Lucas_Oil_Stadium elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
FirstEnergy Stadium,FirstEnergy,CLE,41.506111,-81.699444,640.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Huntington_Bank_Field elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
FedExField,FedExField,WAS,38.907778,-76.864444,249.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Northwest_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Mercedes-Benz Stadium,MBS,ATL,33.755556,-84.4,1033.0,retractable,America/New_York,wiki:https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
U.S. Bank Stadium,USBank,MIN,44.974,-93.258,860.0,dome,America/Chicago,wiki:https://en.wikipedia.org/wiki/U.S._Bank_Stadium elevation:open-elevation(srtm) roof:fixed fetched:2026-08-31
Bank of America Stadium,BankOfAmerica,CAR,35.225833,-80.852778,748.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Bank_of_America_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
TIAA Bank Stadium,TIAA,JAX,30.323889,-81.6375,20.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/EverBank_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Empower Field at Mile High,MileHigh,DEN,39.743889,-105.02,5236.0,outdoor,America/Denver,wiki:https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Allegiant Stadium,Allegiant,LV,36.090556,-115.183889,2192.0,retractable,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Allegiant_Stadium elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
GEHA Field at Arrowhead Stadium,Arrowhead,KC,39.048889,-94.483889,896.0,outdoor,America/Chicago,wiki:https://en.wikipedia.org/wiki/Arrowhead_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Lumen Field,Lumen,SEA,47.5952,-122.3316,46.0,outdoor,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Lumen_Field elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Acrisure Stadium,Acrisure,PIT,40.446667,-80.015833,719.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Acrisure_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Paycor Stadium,Paycor,CIN,39.095,-84.516,505.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Paycor_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Arrowhead Stadium,Arrowhead,,39.048889,-94.483889,896.0,outdoor,America/Chicago,wiki:https://en.wikipedia.org/wiki/Arrowhead_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
CenturyLink Field,Lumen,,47.5952,-122.3316,46.0,outdoor,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Lumen_Field elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Heinz Field,Acrisure,,40.446667,-80.015833,719.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Acrisure_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Paul Brown Stadium,Paycor,,39.095,-84.516,505.0,outdoor,America/New_York,wiki:https://en.wikipedia.org/wiki/Paycor_Stadium elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Sports Authority Field at Mile High,MileHigh,,39.743889,-105.02,5236.0,outdoor,America/Denver,wiki:https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Ring Central Coliseum,OaklandColiseum,OAK,37.751667,-122.200556,16.0,outdoor,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Oakland_Coliseum elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Oakland-Alameda County Coliseum,OaklandColiseum,,37.751667,-122.200556,16.0,outdoor,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Oakland_Coliseum elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Los Angeles Memorial Coliseum,LAColiseum,,34.014167,-118.287778,177.0,outdoor,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Los_Angeles_Memorial_Coliseum elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
