rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.2,301,199,301-199,0.602,0,6-4,0.637,0.566
2,MIL,MIL,1552.9,283,198,283-198,0.588,0,5-5,0.621,0.555
3,NYY,NYY,1550.3,280,208,280-208,0.574,0,6-4,0.57,0.577
4,PHI,PHI,1548.5,274,202,274-202,0.576,0,7-3,0.63,0.521
5,SD,SD,1532.1,263,214,263-214,0.551,0,4-6,0.601,0.502
6,CHC,CHC,1531.2,260,217,260-217,0.545,0,5-5,0.582,0.508
7,CLE,CLE,1523.3,258,223,258-223,0.536,0,5-5,0.551,0.521
8,BOS,BOS,1518.7,251,221,251-221,0.532,0,6-4,0.526,0.537
9,ATL,ATL,1517.8,250,220,250-220,0.532,0,6-4,0.568,0.496
10,HOU,HOU,1517.3,248,221,248-221,0.529,0,6-4,0.54,0.517
11,AZ,AZ,1516.4,246,223,246-223,0.525,0,6-4,0.547,0.502
12,SEA,SEA,1513.6,248,232,248-232,0.517,0,3-7,0.588,0.446
13,TOR,TOR,1512.2,250,236,250-236,0.514,0,7-3,0.553,0.475
14,TB,TB,1511.0,242,225,242-225,0.518,0,6-4,0.556,0.481
15,DET,DET,1509.2,247,236,247-236,0.511,0,4-6,0.534,0.49
16,BAL,BAL,1505.9,236,235,236-235,0.501,0,4-6,0.498,0.504
17,NYM,NYM,1504.5,245,236,245-236,0.509,0,6-4,0.548,0.471
18,STL,STL,1498.1,233,235,233-235,0.498,0,6-4,0.521,0.474
19,KC,KC,1496.3,235,240,235-240,0.495,0,4-6,0.532,0.458
20,CIN,CIN,1493.6,229,240,229-240,0.488,0,7-3,0.508,0.468
21,TEX,TEX,1493.0,230,238,230-238,0.491,0,5-5,0.564,0.419
22,PIT,PIT,1483.2,218,250,218-250,0.466,0,6-4,0.517,0.415
23,SF,SF,1482.7,220,248,220-248,0.47,0,4-6,0.506,0.435
24,MIN,MIN,1479.1,220,248,220-248,0.47,0,4-6,0.509,0.432
25,MIA,MIA,1472.1,213,256,213-256,0.454,0,4-6,0.472,0.436
26,ATH,ATH,1464.9,202,266,202-266,0.432,0,4-6,0.429,0.435
27,WSH,WSH,1463.9,204,265,204-265,0.435,0,5-5,0.438,0.432
28,LAA,LAA,1440.8,189,279,189-279,0.404,0,2-8,0.428,0.379
29,CWS,CWS,1412.6,176,291,176-291,0.377,0,5-5,0.425,0.329
30,COL,COL,1403.4,159,308,159-308,0.34,0,3-7,0.395,0.286
