rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.1,306,201,306-201,0.604,0,8-2,0.642,0.565
2,MIL,MIL,1553.7,287,199,287-199,0.591,0,6-4,0.625,0.555
3,NYY,NYY,1550.6,286,209,286-209,0.578,0,7-3,0.577,0.579
4,PHI,PHI,1548.9,276,206,276-206,0.573,0,4-6,0.627,0.519
5,SD,SD,1532.2,270,214,270-214,0.558,0,9-1,0.606,0.51
6,CHC,CHC,1531.1,263,220,263-220,0.545,0,5-5,0.584,0.504
7,CLE,CLE,1523.1,261,226,261-226,0.536,0,5-5,0.549,0.523
8,BOS,BOS,1519.8,253,224,253-224,0.53,0,7-3,0.523,0.537
9,ATL,ATL,1518.6,253,224,253-224,0.53,0,4-6,0.567,0.494
10,HOU,HOU,1517.1,250,225,250-225,0.526,0,4-6,0.54,0.513
11,AZ,AZ,1516.9,249,226,249-226,0.524,0,6-4,0.546,0.502
12,SEA,SEA,1512.9,251,236,251-236,0.515,0,4-6,0.588,0.443
13,TOR,TOR,1512.8,253,240,253-240,0.513,0,5-5,0.552,0.473
14,TB,TB,1512.1,247,226,247-226,0.522,0,7-3,0.561,0.483
15,DET,DET,1507.9,252,237,252-237,0.515,0,7-3,0.539,0.492
16,BAL,BAL,1505.7,239,238,239-238,0.501,0,4-6,0.498,0.504
17,NYM,NYM,1504.8,248,239,248-239,0.509,0,6-4,0.545,0.473
18,STL,STL,1497.7,236,239,236-239,0.497,0,5-5,0.525,0.468
19,KC,KC,1496.0,237,243,237-243,0.494,0,4-6,0.531,0.456
20,CIN,CIN,1493.4,230,246,230-246,0.483,0,3-7,0.506,0.46
21,TEX,TEX,1492.9,233,241,233-241,0.492,0,5-5,0.564,0.421
22,PIT,PIT,1483.1,222,252,222-252,0.468,0,7-3,0.517,0.421
23,SF,SF,1482.0,223,252,223-252,0.469,0,4-6,0.506,0.433
24,MIN,MIN,1478.3,222,252,222-252,0.468,0,3-7,0.504,0.432
25,MIA,MIA,1471.9,215,260,215-260,0.453,0,3-7,0.471,0.434
26,ATH,ATH,1464.0,206,268,206-268,0.435,0,7-3,0.435,0.435
27,WSH,WSH,1463.2,207,268,207-268,0.436,0,3-7,0.445,0.426
28,LAA,LAA,1440.4,192,282,192-282,0.405,0,4-6,0.43,0.38
29,CWS,CWS,1413.8,178,296,178-296,0.376,0,4-6,0.419,0.332
30,COL,COL,1403.1,159,315,159-315,0.335,0,1-9,0.393,0.279
