rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.2,310,202,310-202,0.605,0,7-3,0.645,0.566
2,MIL,MIL,1553.7,291,200,291-200,0.593,0,8-2,0.625,0.56
3,NYY,NYY,1550.6,288,211,288-211,0.577,0,7-3,0.577,0.578
4,PHI,PHI,1548.9,278,209,278-209,0.571,0,4-6,0.627,0.516
5,SD,SD,1532.8,274,215,274-215,0.56,0,9-1,0.609,0.512
6,CHC,CHC,1531.0,265,222,265-222,0.544,0,5-5,0.584,0.504
7,CLE,CLE,1522.9,265,226,265-226,0.54,0,7-3,0.556,0.523
8,BOS,BOS,1519.8,255,227,255-227,0.529,0,4-6,0.523,0.535
9,ATL,ATL,1518.6,256,225,256-225,0.532,0,6-4,0.567,0.498
10,HOU,HOU,1516.9,252,228,252-228,0.525,0,3-7,0.537,0.513
11,AZ,AZ,1516.8,250,229,250-229,0.522,0,4-6,0.541,0.502
12,TB,TB,1513.7,251,227,251-227,0.525,0,8-2,0.566,0.483
13,SEA,SEA,1512.8,253,238,253-238,0.515,0,5-5,0.588,0.444
14,TOR,TOR,1512.8,254,243,254-243,0.511,0,4-6,0.552,0.47
15,DET,DET,1508.1,254,240,254-240,0.514,0,7-3,0.539,0.49
16,BAL,BAL,1505.8,241,240,241-240,0.501,0,5-5,0.494,0.508
17,NYM,NYM,1504.8,250,242,250-242,0.508,0,4-6,0.543,0.473
18,STL,STL,1496.8,236,243,236-243,0.493,0,3-7,0.517,0.468
19,KC,KC,1495.9,238,247,238-247,0.491,0,3-7,0.531,0.451
20,TEX,TEX,1493.2,237,242,237-242,0.495,0,6-4,0.569,0.421
21,CIN,CIN,1493.0,232,249,232-249,0.482,0,3-7,0.504,0.46
22,PIT,PIT,1484.3,225,254,225-254,0.47,0,6-4,0.519,0.421
23,SF,SF,1482.0,225,254,225-254,0.47,0,4-6,0.506,0.434
24,MIN,MIN,1478.2,224,255,224-255,0.468,0,3-7,0.504,0.431
25,MIA,MIA,1471.9,217,262,217-262,0.453,0,4-6,0.471,0.435
26,ATH,ATH,1464.0,206,273,206-273,0.43,0,3-7,0.435,0.426
27,WSH,WSH,1463.1,210,269,210-269,0.438,0,6-4,0.446,0.431
28,LAA,LAA,1439.6,195,284,195-284,0.407,0,5-5,0.434,0.38
29,CWS,CWS,1414.9,180,299,180-299,0.376,0,4-6,0.423,0.329
30,COL,COL,1402.2,161,318,161-318,0.336,0,2-8,0.393,0.279
