rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.4,312,204,312-204,0.605,526,7-3,0.642,0.566
2,MIL,MIL,1554.0,294,201,294-201,0.594,505,7-3,0.625,0.563
3,NYY,NYY,1551.1,291,213,291-213,0.577,452,6-4,0.579,0.575
4,PHI,PHI,1548.9,280,211,280-211,0.57,258,5-5,0.623,0.518
5,SD,SD,1533.1,277,216,277-216,0.562,213,8-2,0.611,0.514
6,CHC,CHC,1530.9,267,225,267-225,0.543,352,5-5,0.581,0.504
7,CLE,CLE,1522.9,268,227,268-227,0.541,82,8-2,0.558,0.525
8,BOS,BOS,1520.4,257,230,257-230,0.528,191,4-6,0.523,0.533
9,ATL,ATL,1519.2,258,227,258-227,0.532,198,5-5,0.564,0.5
10,HOU,HOU,1517.0,254,230,254-230,0.525,56,4-6,0.535,0.515
11,AZ,AZ,1516.7,254,229,254-229,0.526,114,6-4,0.543,0.508
12,TB,TB,1513.7,253,230,253-230,0.524,49,6-4,0.568,0.479
13,TOR,TOR,1512.7,255,246,255-246,0.509,-12,3-7,0.552,0.466
14,SEA,SEA,1511.9,255,240,255-240,0.515,69,4-6,0.585,0.446
15,DET,DET,1507.4,255,243,255-243,0.512,177,4-6,0.537,0.488
16,BAL,BAL,1505.7,244,241,244-241,0.503,-52,6-4,0.498,0.508
17,NYM,NYM,1504.8,252,244,252-244,0.508,82,4-6,0.54,0.476
18,STL,STL,1496.7,238,245,238-245,0.493,-134,4-6,0.519,0.467
19,KC,KC,1495.5,239,250,239-250,0.489,-7,2-8,0.529,0.449
20,TEX,TEX,1493.1,238,245,238-245,0.493,-16,6-4,0.564,0.421
21,CIN,CIN,1493.0,234,251,234-251,0.482,-128,4-6,0.502,0.463
22,PIT,PIT,1484.9,228,255,228-255,0.472,-108,7-3,0.523,0.421
23,SF,SF,1481.2,226,257,226-257,0.468,-69,3-7,0.504,0.432
24,MIN,MIN,1478.0,227,256,227-256,0.47,-152,5-5,0.504,0.436
25,MIA,MIA,1472.0,219,264,219-264,0.453,-290,5-5,0.471,0.436
26,WSH,WSH,1463.2,212,271,212-271,0.439,-307,7-3,0.446,0.432
27,ATH,ATH,1463.1,208,275,208-275,0.431,-424,3-7,0.438,0.424
28,LAA,LAA,1439.6,196,287,196-287,0.406,-417,5-5,0.432,0.379
29,CWS,CWS,1415.3,183,300,183-300,0.379,-349,6-4,0.425,0.333
30,COL,COL,1401.5,161,322,161-322,0.333,-859,2-8,0.387,0.279
