feature,window,n_games,n_nonnull,pct_nonnull,n_measured,pct_measured,n_default_zero,status
is_home,current,96,96,100.0,96,100.0,0,OK
win_pct_diff,current,96,96,100.0,96,100.0,0,OK
elo_diff,current,96,96,100.0,96,100.0,0,OK
rest_days_diff,current,96,96,100.0,96,100.0,0,OK
sp_era_diff,current,96,94,97.9,94,97.9,0,OK
sp_era_5g_diff,current,96,96,100.0,96,100.0,0,OK
sp_fbvelo_diff,current,96,96,100.0,96,100.0,0,OK
lineup_woba_mean_diff,current,96,96,100.0,96,100.0,0,OK
lineup_woba_top3_diff,current,96,96,100.0,96,100.0,0,OK
lineup_woba_std_diff,current,96,96,100.0,96,100.0,0,OK
woba_30g_diff,current,96,96,100.0,96,100.0,0,OK
bullpen_whip_diff,current,96,94,97.9,94,97.9,0,OK
bullpen_whip_3g_diff,current,96,94,97.9,94,97.9,0,OK
bullpen_pitches_diff,current,96,96,100.0,96,100.0,0,OK
team_barrel_diff,current,96,96,100.0,96,100.0,0,OK
team_hardhit_diff,current,96,96,100.0,96,100.0,0,OK
team_exitvelo_diff,current,96,96,100.0,96,100.0,0,OK
lineup_handedness_matchup_advantage,current,96,96,100.0,96,100.0,0,OK
travel_fatigue_diff,current,96,96,100.0,96,100.0,0,OK
closer_availability_diff,current,96,96,100.0,96,100.0,0,OK
dome_is_neutral,current,96,96,100.0,96,100.0,0,OK
park_factor_slug_diff,current,96,96,100.0,96,100.0,0,OK
wind_advantage_flyball_factor,current,96,94,97.9,75,78.1,19,LOW_COVERAGE
air_density_velocity_boost,current,96,96,100.0,96,100.0,0,OK
bullpen_meltdown_risk,current,96,94,97.9,94,97.9,0,OK
pitcher_regression_indicator,current,96,96,100.0,96,100.0,0,OK
lineup_depth_multiplier,current,96,96,100.0,96,100.0,0,OK
ace_efficiency_factor,current,96,96,100.0,96,100.0,0,OK
home_elo,current,96,96,100.0,96,100.0,0,OK
away_elo,current,96,96,100.0,96,100.0,0,OK
home_win_pct,current,96,96,100.0,96,100.0,0,OK
away_win_pct,current,96,96,100.0,96,100.0,0,OK
sp_era_home,current,96,96,100.0,96,100.0,0,OK
sp_era_away,current,96,94,97.9,94,97.9,0,OK
sp_k9_home,current,96,96,100.0,96,100.0,0,OK
sp_k9_away,current,96,94,97.9,94,97.9,0,OK
sp_xwoba_home,current,96,96,100.0,96,100.0,0,OK
sp_xwoba_away,current,96,96,100.0,96,100.0,0,OK
lineup_woba_mean_home,current,96,96,100.0,96,100.0,0,OK
lineup_woba_mean_away,current,96,96,100.0,96,100.0,0,OK
lineup_woba_top3_home,current,96,96,100.0,96,100.0,0,OK
lineup_woba_top3_away,current,96,96,100.0,96,100.0,0,OK
woba_30g_home,current,96,96,100.0,96,100.0,0,OK
woba_30g_away,current,96,96,100.0,96,100.0,0,OK
bullpen_whip_10g_home,current,96,95,99.0,95,99.0,0,OK
bullpen_whip_10g_away,current,96,95,99.0,95,99.0,0,OK
bullpen_whip_3g_home,current,96,95,99.0,95,99.0,0,OK
bullpen_whip_3g_away,current,96,95,99.0,95,99.0,0,OK
team_barrel_15g_home,current,96,96,100.0,96,100.0,0,OK
team_barrel_15g_away,current,96,96,100.0,96,100.0,0,OK
team_exitvelo_15g_home,current,96,96,100.0,96,100.0,0,OK
team_exitvelo_15g_away,current,96,96,100.0,96,100.0,0,OK
run_margin_diff,current,96,96,100.0,96,100.0,0,OK
exp2_centered_k_diff,current,96,94,97.9,94,97.9,0,OK
exp2_cat_k_fastball_diff,current,96,94,97.9,94,97.9,0,OK
exp2_cat_k_breaking_diff,current,96,81,84.4,81,84.4,0,OK
exp2_cat_k_offspeed_diff,current,96,61,63.5,61,63.5,0,LOW_COVERAGE
exp2_cat_xwoba_fastball_diff,current,96,94,97.9,94,97.9,0,OK
exp2_cat_xwoba_breaking_diff,current,96,81,84.4,81,84.4,0,OK
exp2_cat_xwoba_offspeed_diff,current,96,61,63.5,61,63.5,0,LOW_COVERAGE
exp2_cat_platoon_k_fastball_diff,current,96,94,97.9,94,97.9,0,OK
is_home,baseline,288,288,100.0,288,100.0,0,OK
win_pct_diff,baseline,288,288,100.0,288,100.0,0,OK
elo_diff,baseline,288,288,100.0,288,100.0,0,OK
rest_days_diff,baseline,288,288,100.0,288,100.0,0,OK
sp_era_diff,baseline,288,281,97.6,281,97.6,0,OK
sp_era_5g_diff,baseline,288,282,97.9,282,97.9,0,OK
sp_fbvelo_diff,baseline,288,281,97.6,281,97.6,0,OK
lineup_woba_mean_diff,baseline,288,288,100.0,288,100.0,0,OK
lineup_woba_top3_diff,baseline,288,288,100.0,288,100.0,0,OK
lineup_woba_std_diff,baseline,288,288,100.0,288,100.0,0,OK
woba_30g_diff,baseline,288,288,100.0,288,100.0,0,OK
bullpen_whip_diff,baseline,288,284,98.6,284,98.6,0,OK
bullpen_whip_3g_diff,baseline,288,284,98.6,284,98.6,0,OK
bullpen_pitches_diff,baseline,288,288,100.0,288,100.0,0,OK
team_barrel_diff,baseline,288,288,100.0,288,100.0,0,OK
team_hardhit_diff,baseline,288,288,100.0,288,100.0,0,OK
team_exitvelo_diff,baseline,288,288,100.0,288,100.0,0,OK
lineup_handedness_matchup_advantage,baseline,288,288,100.0,288,100.0,0,OK
travel_fatigue_diff,baseline,288,288,100.0,288,100.0,0,OK
closer_availability_diff,baseline,288,288,100.0,288,100.0,0,OK
dome_is_neutral,baseline,288,288,100.0,288,100.0,0,OK
park_factor_slug_diff,baseline,288,288,100.0,288,100.0,0,OK
wind_advantage_flyball_factor,baseline,288,281,97.6,226,78.5,55,LOW_COVERAGE
air_density_velocity_boost,baseline,288,281,97.6,281,97.6,0,OK
bullpen_meltdown_risk,baseline,288,284,98.6,284,98.6,0,OK
pitcher_regression_indicator,baseline,288,281,97.6,281,97.6,0,OK
lineup_depth_multiplier,baseline,288,288,100.0,288,100.0,0,OK
ace_efficiency_factor,baseline,288,282,97.9,282,97.9,0,OK
home_elo,baseline,288,288,100.0,288,100.0,0,OK
away_elo,baseline,288,288,100.0,288,100.0,0,OK
home_win_pct,baseline,288,288,100.0,288,100.0,0,OK
away_win_pct,baseline,288,288,100.0,288,100.0,0,OK
sp_era_home,baseline,288,283,98.3,283,98.3,0,OK
sp_era_away,baseline,288,286,99.3,286,99.3,0,OK
