rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.3,313,204,313-204,0.605,528,7-3,0.642,0.568
2,MIL,MIL,1554.3,295,201,295-201,0.595,509,8-2,0.627,0.563
3,NYY,NYY,1551.1,292,214,292-214,0.577,447,5-5,0.579,0.575
4,PHI,PHI,1548.9,280,212,280-212,0.569,256,4-6,0.62,0.518
5,SD,SD,1533.5,277,217,277-217,0.561,206,7-3,0.608,0.514
6,CHC,CHC,1530.9,267,226,267-226,0.542,350,4-6,0.581,0.502
7,CLE,CLE,1522.9,269,227,269-227,0.542,85,8-2,0.558,0.527
8,BOS,BOS,1520.3,258,230,258-230,0.529,193,5-5,0.525,0.533
9,ATL,ATL,1519.2,258,228,258-228,0.531,195,5-5,0.564,0.498
10,HOU,HOU,1516.9,254,231,254-231,0.524,55,4-6,0.535,0.512
11,AZ,AZ,1516.7,255,229,255-229,0.527,121,7-3,0.543,0.51
12,TB,TB,1513.7,254,230,254-230,0.525,51,6-4,0.568,0.481
13,TOR,TOR,1512.7,256,246,256-246,0.51,-11,3-7,0.554,0.466
14,SEA,SEA,1511.5,255,241,255-241,0.514,67,4-6,0.583,0.446
15,DET,DET,1507.2,256,243,256-243,0.513,178,4-6,0.539,0.488
16,BAL,BAL,1505.8,245,242,245-242,0.503,-47,6-4,0.498,0.508
17,NYM,NYM,1504.8,252,245,252-245,0.507,81,4-6,0.54,0.474
18,STL,STL,1496.7,238,246,238-246,0.492,-138,3-7,0.519,0.465
19,KC,KC,1495.1,239,251,239-251,0.488,-10,2-8,0.527,0.449
20,CIN,CIN,1493.0,234,252,234-252,0.481,-129,4-6,0.502,0.461
21,TEX,TEX,1493.0,238,246,238-246,0.492,-24,5-5,0.564,0.419
22,PIT,PIT,1484.9,228,256,228-256,0.471,-109,6-4,0.523,0.419
23,SF,SF,1480.9,226,258,226-258,0.467,-71,3-7,0.502,0.432
24,MIN,MIN,1478.0,228,256,228-256,0.471,-144,6-4,0.506,0.436
25,MIA,MIA,1472.2,220,264,220-264,0.455,-287,5-5,0.473,0.436
26,WSH,WSH,1463.2,213,271,213-271,0.44,-306,7-3,0.448,0.432
27,ATH,ATH,1462.9,209,275,209-275,0.432,-423,3-7,0.44,0.424
28,LAA,LAA,1439.6,197,287,197-287,0.407,-415,5-5,0.432,0.382
29,CWS,CWS,1415.6,184,300,184-300,0.38,-344,6-4,0.427,0.333
30,COL,COL,1401.6,161,323,161-323,0.333,-864,2-8,0.387,0.278
