rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.4,299,199,299-199,0.6,0,4-6,0.635,0.566
2,MIL,MIL,1552.9,282,196,282-196,0.59,0,7-3,0.62,0.559
3,NYY,NYY,1550.3,279,207,279-207,0.574,0,6-4,0.57,0.578
4,PHI,PHI,1548.3,272,201,272-201,0.575,0,6-4,0.63,0.521
5,SD,SD,1532.2,262,213,262-213,0.552,0,3-7,0.602,0.502
6,CHC,CHC,1531.2,259,215,259-215,0.546,0,4-6,0.582,0.511
7,CLE,CLE,1523.5,257,221,257-221,0.538,0,6-4,0.551,0.523
8,BOS,BOS,1518.4,248,221,248-221,0.529,0,4-6,0.524,0.534
9,ATL,ATL,1517.8,249,218,249-218,0.533,0,8-2,0.568,0.498
10,HOU,HOU,1517.3,248,219,248-219,0.531,0,7-3,0.544,0.517
11,AZ,AZ,1516.4,243,223,243-223,0.521,0,5-5,0.547,0.496
12,SEA,SEA,1513.9,247,231,247-231,0.517,0,3-7,0.588,0.446
13,TOR,TOR,1512.2,249,235,249-235,0.514,0,7-3,0.553,0.475
14,TB,TB,1511.0,241,224,241-224,0.518,0,6-4,0.556,0.481
15,DET,DET,1509.5,245,235,245-235,0.51,0,3-7,0.532,0.49
16,BAL,BAL,1506.0,235,233,235-233,0.502,0,5-5,0.5,0.504
17,NYM,NYM,1504.6,243,235,243-235,0.508,0,5-5,0.548,0.469
18,STL,STL,1498.1,232,234,232-234,0.498,0,5-5,0.521,0.474
19,KC,KC,1496.2,234,238,234-238,0.496,0,5-5,0.534,0.458
20,CIN,CIN,1493.6,227,240,227-240,0.486,0,5-5,0.504,0.468
21,TEX,TEX,1493.2,229,237,229-237,0.491,0,4-6,0.565,0.419
22,PIT,PIT,1482.9,217,249,217-249,0.466,0,7-3,0.517,0.415
23,SF,SF,1482.9,219,247,219-247,0.47,0,4-6,0.506,0.434
24,MIN,MIN,1479.1,219,246,219-246,0.471,0,4-6,0.509,0.433
25,MIA,MIA,1472.1,212,254,212-254,0.455,0,4-6,0.474,0.436
26,ATH,ATH,1465.2,201,265,201-265,0.431,0,5-5,0.429,0.434
27,WSH,WSH,1464.0,204,263,204-263,0.437,0,5-5,0.438,0.435
28,LAA,LAA,1440.9,188,277,188-277,0.404,0,1-9,0.428,0.38
29,CWS,CWS,1412.1,175,290,175-290,0.376,0,6-4,0.424,0.329
30,COL,COL,1403.3,158,307,158-307,0.34,0,4-6,0.394,0.286
