rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.1,304,199,304-199,0.604,0,8-2,0.642,0.566
2,MIL,MIL,1553.2,285,198,285-198,0.59,0,6-4,0.624,0.555
3,NYY,NYY,1550.4,282,208,282-208,0.576,0,7-3,0.574,0.577
4,PHI,PHI,1548.9,275,203,275-203,0.575,0,6-4,0.629,0.521
5,SD,SD,1532.2,266,214,266-214,0.554,0,6-4,0.606,0.502
6,CHC,CHC,1531.2,260,219,260-219,0.543,0,4-6,0.582,0.504
7,CLE,CLE,1523.3,259,224,259-224,0.536,0,5-5,0.551,0.521
8,BOS,BOS,1519.4,251,223,251-223,0.53,0,6-4,0.521,0.537
9,ATL,ATL,1518.2,250,222,250-222,0.53,0,4-6,0.564,0.496
10,HOU,HOU,1517.3,249,222,249-222,0.529,0,6-4,0.54,0.517
11,AZ,AZ,1516.4,247,224,247-224,0.524,0,6-4,0.547,0.502
12,SEA,SEA,1512.8,249,233,249-233,0.517,0,4-6,0.587,0.446
13,TOR,TOR,1512.2,251,238,251-238,0.513,0,6-4,0.553,0.473
14,TB,TB,1511.0,244,225,244-225,0.52,0,6-4,0.556,0.485
15,DET,DET,1508.8,248,237,248-237,0.511,0,4-6,0.534,0.49
16,BAL,BAL,1505.7,237,236,237-236,0.501,0,3-7,0.498,0.504
17,NYM,NYM,1504.5,247,236,247-236,0.511,0,7-3,0.548,0.475
18,STL,STL,1498.2,233,238,233-238,0.495,0,4-6,0.521,0.468
19,KC,KC,1496.1,236,241,236-241,0.495,0,3-7,0.531,0.458
20,CIN,CIN,1493.6,229,243,229-243,0.485,0,5-5,0.508,0.462
21,TEX,TEX,1493.0,231,239,231-239,0.491,0,6-4,0.564,0.419
22,PIT,PIT,1483.0,220,250,220-250,0.468,0,8-2,0.517,0.419
23,SF,SF,1482.4,223,248,223-248,0.473,0,6-4,0.513,0.435
24,MIN,MIN,1479.0,221,249,221-249,0.47,0,5-5,0.509,0.432
25,MIA,MIA,1472.1,213,258,213-258,0.452,0,3-7,0.468,0.436
26,ATH,ATH,1464.5,204,267,204-267,0.433,0,6-4,0.432,0.435
27,WSH,WSH,1463.9,204,268,204-268,0.432,0,2-8,0.438,0.426
28,LAA,LAA,1440.8,191,279,191-279,0.406,0,4-6,0.428,0.385
29,CWS,CWS,1413.8,176,293,176-293,0.375,0,3-7,0.421,0.329
30,COL,COL,1403.4,159,310,159-310,0.339,0,3-7,0.395,0.284
