rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.2,305,199,305-199,0.605,0,8-2,0.642,0.568
2,MIL,MIL,1553.6,286,198,286-198,0.591,0,7-3,0.626,0.555
3,NYY,NYY,1550.5,284,208,284-208,0.577,0,7-3,0.577,0.577
4,PHI,PHI,1548.9,275,205,275-205,0.573,0,4-6,0.627,0.519
5,SD,SD,1532.2,267,214,267-214,0.555,0,7-3,0.606,0.504
6,CHC,CHC,1531.1,261,219,261-219,0.544,0,4-6,0.583,0.504
7,CLE,CLE,1523.5,260,224,260-224,0.537,0,5-5,0.551,0.523
8,BOS,BOS,1519.6,251,224,251-224,0.528,0,5-5,0.519,0.537
9,ATL,ATL,1518.3,252,222,252-222,0.532,0,5-5,0.567,0.496
10,HOU,HOU,1517.3,250,223,250-223,0.529,0,5-5,0.54,0.517
11,AZ,AZ,1516.7,248,224,248-224,0.525,0,6-4,0.549,0.502
12,SEA,SEA,1512.8,250,234,250-234,0.517,0,5-5,0.588,0.444
13,TOR,TOR,1512.4,251,239,251-239,0.512,0,5-5,0.551,0.473
14,TB,TB,1511.5,245,226,245-226,0.52,0,6-4,0.557,0.483
15,DET,DET,1508.2,249,237,249-237,0.512,0,5-5,0.536,0.49
16,BAL,BAL,1505.7,238,236,238-236,0.502,0,3-7,0.498,0.506
17,NYM,NYM,1504.5,247,237,247-237,0.51,0,7-3,0.548,0.473
18,STL,STL,1498.0,234,238,234-238,0.496,0,5-5,0.523,0.468
19,KC,KC,1496.1,237,241,237-241,0.496,0,4-6,0.531,0.46
20,CIN,CIN,1493.6,229,244,229-244,0.484,0,4-6,0.508,0.46
21,TEX,TEX,1493.0,231,241,231-241,0.489,0,4-6,0.564,0.416
22,PIT,PIT,1483.1,221,251,221-251,0.468,0,7-3,0.517,0.42
23,SF,SF,1482.1,223,249,223-249,0.472,0,5-5,0.511,0.435
24,MIN,MIN,1478.8,221,250,221-250,0.469,0,4-6,0.506,0.432
25,MIA,MIA,1472.0,213,259,213-259,0.451,0,3-7,0.466,0.436
26,ATH,ATH,1464.2,205,267,205-267,0.434,0,7-3,0.434,0.435
27,WSH,WSH,1463.5,205,268,205-268,0.433,0,3-7,0.441,0.426
28,LAA,LAA,1440.8,191,280,191-280,0.406,0,4-6,0.428,0.383
29,CWS,CWS,1413.8,176,295,176-295,0.374,0,3-7,0.419,0.328
30,COL,COL,1403.4,159,312,159-312,0.338,0,3-7,0.395,0.282
