rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.2,309,202,309-202,0.605,0,7-3,0.643,0.566
2,MIL,MIL,1553.7,290,200,290-200,0.592,0,8-2,0.625,0.558
3,NYY,NYY,1550.7,288,210,288-210,0.578,0,8-2,0.577,0.58
4,PHI,PHI,1548.8,278,208,278-208,0.572,0,4-6,0.627,0.518
5,SD,SD,1532.7,273,215,273-215,0.559,0,9-1,0.607,0.512
6,CHC,CHC,1530.9,264,222,264-222,0.543,0,4-6,0.584,0.502
7,CLE,CLE,1522.7,264,226,264-226,0.539,0,6-4,0.554,0.523
8,BOS,BOS,1519.8,255,226,255-226,0.53,0,5-5,0.523,0.537
9,ATL,ATL,1518.7,255,225,255-225,0.531,0,5-5,0.567,0.496
10,HOU,HOU,1517.1,252,227,252-227,0.526,0,4-6,0.539,0.513
11,AZ,AZ,1516.8,249,229,249-229,0.521,0,4-6,0.539,0.502
12,TB,TB,1513.4,250,227,250-227,0.524,0,8-2,0.564,0.483
13,SEA,SEA,1512.9,253,237,253-237,0.516,0,5-5,0.588,0.445
14,TOR,TOR,1512.8,254,242,254-242,0.512,0,4-6,0.552,0.472
15,DET,DET,1508.0,254,239,254-239,0.515,0,7-3,0.539,0.492
16,BAL,BAL,1505.7,241,239,241-239,0.502,0,6-4,0.496,0.508
17,NYM,NYM,1504.8,249,242,249-242,0.507,0,4-6,0.541,0.473
18,STL,STL,1497.0,236,242,236-242,0.494,0,3-7,0.519,0.468
19,KC,KC,1496.1,238,246,238-246,0.492,0,3-7,0.531,0.453
20,TEX,TEX,1493.2,236,242,236-242,0.494,0,6-4,0.567,0.421
21,CIN,CIN,1493.1,232,248,232-248,0.483,0,3-7,0.506,0.46
22,PIT,PIT,1483.9,224,254,224-254,0.469,0,6-4,0.517,0.421
23,SF,SF,1481.9,225,253,225-253,0.471,0,5-5,0.506,0.436
24,MIN,MIN,1478.1,224,254,224-254,0.469,0,4-6,0.504,0.433
25,MIA,MIA,1471.9,217,261,217-261,0.454,0,4-6,0.471,0.437
26,ATH,ATH,1464.1,206,272,206-272,0.431,0,4-6,0.435,0.427
27,WSH,WSH,1463.1,209,269,209-269,0.437,0,5-5,0.446,0.429
28,LAA,LAA,1439.8,194,284,194-284,0.406,0,5-5,0.432,0.38
29,CWS,CWS,1414.6,179,299,179-299,0.374,0,3-7,0.42,0.329
30,COL,COL,1402.4,160,318,160-318,0.335,0,1-9,0.391,0.279
