rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.4,300,199,300-199,0.601,0,5-5,0.636,0.566
2,MIL,MIL,1552.9,282,197,282-197,0.589,0,6-4,0.62,0.557
3,NYY,NYY,1550.4,280,207,280-207,0.575,0,6-4,0.57,0.58
4,PHI,PHI,1548.4,273,201,273-201,0.576,0,7-3,0.631,0.521
5,SD,SD,1532.1,262,214,262-214,0.55,0,3-7,0.599,0.502
6,CHC,CHC,1531.2,260,215,260-215,0.547,0,5-5,0.582,0.513
7,CLE,CLE,1523.4,257,222,257-222,0.537,0,5-5,0.549,0.523
8,BOS,BOS,1518.4,249,221,249-221,0.53,0,5-5,0.524,0.536
9,ATL,ATL,1517.7,249,219,249-219,0.532,0,7-3,0.568,0.496
10,HOU,HOU,1517.2,248,220,248-220,0.53,0,7-3,0.542,0.517
11,AZ,AZ,1516.3,244,223,244-223,0.522,0,5-5,0.547,0.498
12,SEA,SEA,1513.5,247,232,247-232,0.516,0,2-8,0.586,0.446
13,TOR,TOR,1512.2,250,235,250-235,0.515,0,8-2,0.553,0.477
14,TB,TB,1511.0,242,224,242-224,0.519,0,7-3,0.556,0.483
15,DET,DET,1509.5,246,235,246-235,0.511,0,3-7,0.532,0.492
16,BAL,BAL,1506.0,235,234,235-234,0.501,0,4-6,0.498,0.504
17,NYM,NYM,1504.6,243,236,243-236,0.507,0,4-6,0.546,0.469
18,STL,STL,1498.2,232,235,232-235,0.497,0,5-5,0.521,0.472
19,KC,KC,1496.3,234,239,234-239,0.495,0,4-6,0.532,0.458
20,CIN,CIN,1493.6,228,240,228-240,0.487,0,6-4,0.506,0.468
21,TEX,TEX,1493.1,229,238,229-238,0.49,0,4-6,0.562,0.419
22,PIT,PIT,1483.2,217,250,217-250,0.465,0,6-4,0.515,0.415
23,SF,SF,1482.8,220,247,220-247,0.471,0,5-5,0.506,0.436
24,MIN,MIN,1479.0,220,246,220-246,0.472,0,4-6,0.509,0.435
25,MIA,MIA,1472.0,212,255,212-255,0.454,0,4-6,0.472,0.436
26,ATH,ATH,1465.2,202,265,202-265,0.433,0,5-5,0.429,0.436
27,WSH,WSH,1463.9,204,264,204-264,0.436,0,5-5,0.438,0.433
28,LAA,LAA,1440.8,189,277,189-277,0.406,0,2-8,0.428,0.383
29,CWS,CWS,1412.6,175,291,175-291,0.376,0,5-5,0.422,0.329
30,COL,COL,1403.4,159,307,159-307,0.341,0,4-6,0.397,0.286
