rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.3,312,203,312-203,0.606,528,7-3,0.645,0.566
2,MIL,MIL,1553.6,293,201,293-201,0.593,501,7-3,0.625,0.561
3,NYY,NYY,1550.8,290,213,290-213,0.577,450,6-4,0.578,0.575
4,PHI,PHI,1549.0,280,210,280-210,0.571,262,5-5,0.626,0.518
5,SD,SD,1532.8,276,216,276-216,0.561,211,8-2,0.611,0.512
6,CHC,CHC,1530.9,267,224,267-224,0.544,353,5-5,0.581,0.506
7,CLE,CLE,1523.0,267,227,267-227,0.54,81,7-3,0.558,0.523
8,BOS,BOS,1520.2,256,229,256-229,0.528,191,5-5,0.523,0.533
9,ATL,ATL,1519.1,258,226,258-226,0.533,199,6-4,0.566,0.5
10,HOU,HOU,1516.9,253,230,253-230,0.524,54,3-7,0.535,0.513
11,AZ,AZ,1516.8,254,229,254-229,0.526,114,6-4,0.543,0.508
12,TB,TB,1513.7,253,229,253-229,0.525,51,7-3,0.568,0.481
13,TOR,TOR,1512.8,255,246,255-246,0.509,-12,3-7,0.552,0.466
14,SEA,SEA,1512.1,255,239,255-239,0.516,71,5-5,0.588,0.446
15,DET,DET,1507.5,255,243,255-243,0.512,177,4-6,0.537,0.488
16,BAL,BAL,1505.9,244,241,244-241,0.503,-52,6-4,0.498,0.508
17,NYM,NYM,1504.8,252,244,252-244,0.508,82,4-6,0.54,0.476
18,STL,STL,1496.8,238,245,238-245,0.493,-134,4-6,0.519,0.467
19,KC,KC,1495.5,239,250,239-250,0.489,-7,2-8,0.529,0.449
20,CIN,CIN,1493.0,233,251,233-251,0.481,-129,4-6,0.502,0.461
21,TEX,TEX,1493.0,238,245,238-245,0.493,-16,6-4,0.564,0.421
22,PIT,PIT,1484.7,228,255,228-255,0.472,-108,7-3,0.523,0.421
23,SF,SF,1481.5,226,257,226-257,0.468,-69,3-7,0.504,0.432
24,MIN,MIN,1478.1,227,256,227-256,0.47,-152,5-5,0.504,0.436
25,MIA,MIA,1472.0,219,264,219-264,0.453,-290,5-5,0.471,0.436
26,ATH,ATH,1463.4,208,274,208-274,0.432,-422,3-7,0.439,0.424
27,WSH,WSH,1463.1,212,271,212-271,0.439,-307,7-3,0.446,0.432
28,LAA,LAA,1439.6,195,287,195-287,0.405,-419,4-6,0.432,0.377
29,CWS,CWS,1414.9,183,300,183-300,0.379,-349,6-4,0.425,0.333
30,COL,COL,1401.5,161,322,161-322,0.333,-859,2-8,0.387,0.279
