feature,shap_value,signed_effect
away_run_diff,-0.367865,negative
sp_era_home,-0.223429,negative
sp_xwoba_vs_r_away,0.17792,positive
bullpen_pitches_3d_away,-0.171866,negative
bullpen_pitches_3d_home,-0.109485,negative
team_barrel_15g_away,-0.102542,negative
sp_k9_away,0.096812,positive
team_barrel_15g_home,0.086062,positive
sp_xwoba_vs_l_away,0.078194,positive
sp_fbpct_3g_away,0.073556,positive
lineup_woba_top3_away,-0.070474,negative
sp_xwoba_vs_l_home,-0.065767,negative
sp_fbvelo_3g_home,-0.060289,negative
sp_whiff_3g_home,-0.059855,negative
home_run_diff,-0.054884,negative
away_win_pct,-0.053787,negative
team_exitvelo_15g_home,0.051529,positive
sp_era_away,0.050979,positive
sp_xwoba_vs_r_home,-0.050857,negative
team_exitvelo_15g_away,0.047249,positive
sp_fbvelo_3g_away,0.046872,positive
opp_lefty_share_away,0.044661,positive
team_hardhit_15g_home,-0.042764,negative
lineup_woba_top3_home,0.039723,positive
lineup_woba_mean_away,-0.038529,negative
home_win_pct,-0.037864,negative
bullpen_whip_10g_away,0.036408,positive
woba_30g_away,0.031129,positive
woba_30g_home,0.030355,positive
bullpen_ip_3d_home,-0.028637,negative
sp_k9_home,-0.02499,negative
sp_era_30g_home,-0.024351,negative
bullpen_whip_10g_home,0.0214,positive
opp_lefty_share_home,-0.019906,negative
team_hardhit_15g_away,0.018865,positive
lineup_woba_mean_home,-0.015143,negative
sp_fbpct_3g_home,0.014377,positive
bullpen_ip_3d_away,-0.01411,negative
rest_days_away,-0.011973,negative
home_elo,0.00903,positive
sp_era_30g_away,-0.008236,negative
lineup_woba_std_home,-0.00722,negative
lineup_woba_std_away,0.004705,positive
sp_k9_30g_away,0.002256,positive
rest_days_home,0.001838,positive
sp_k9_30g_home,0.001547,positive
sp_whiff_3g_away,0.000623,positive
