rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1571.4,263,174,263-174,0.602,0,6-4,0.638,0.567
2,MIL,MIL,1555.8,247,170,247-170,0.592,0,7-3,0.629,0.554
3,NYY,NYY,1551.3,244,181,244-181,0.574,0,7-3,0.567,0.581
4,PHI,PHI,1543.7,233,180,233-180,0.564,0,8-2,0.633,0.495
5,SD,SD,1538.8,235,180,235-180,0.566,0,6-4,0.616,0.515
6,CHC,CHC,1527.6,225,189,225-189,0.543,0,4-6,0.58,0.507
7,CLE,CLE,1526.4,228,190,228-190,0.545,0,8-2,0.562,0.529
8,ATL,ATL,1523.4,218,189,218-189,0.536,0,5-5,0.569,0.502
9,AZ,AZ,1518.6,214,192,214-192,0.527,0,5-5,0.553,0.5
10,BOS,BOS,1518.5,218,189,218-189,0.536,0,7-3,0.522,0.549
11,SEA,SEA,1516.9,219,199,219-199,0.524,0,6-4,0.61,0.438
12,HOU,HOU,1512.6,210,195,210-195,0.519,0,4-6,0.517,0.52
13,BAL,BAL,1510.9,207,199,207-199,0.51,0,4-6,0.507,0.513
14,TOR,TOR,1509.3,214,211,214-211,0.504,0,4-6,0.54,0.467
15,NYM,NYM,1505.2,211,206,211-206,0.506,0,5-5,0.543,0.469
16,TB,TB,1502.9,204,200,204-200,0.505,0,5-5,0.548,0.464
17,DET,DET,1501.1,209,209,209-209,0.5,0,2-8,0.522,0.479
18,TEX,TEX,1498.2,201,203,201-203,0.498,0,5-5,0.572,0.424
19,KC,KC,1495.1,205,208,205-208,0.496,0,9-1,0.556,0.438
20,CIN,CIN,1489.8,194,212,194-212,0.478,0,4-6,0.495,0.46
21,STL,STL,1488.6,195,210,195-210,0.481,0,3-7,0.512,0.45
22,PIT,PIT,1486.3,190,215,190-215,0.469,0,5-5,0.515,0.424
23,SF,SF,1481.7,189,217,189-217,0.466,0,4-6,0.492,0.44
24,MIA,MIA,1477.3,189,217,189-217,0.466,0,5-5,0.49,0.44
25,MIN,MIN,1474.8,188,217,188-217,0.464,0,4-6,0.5,0.428
26,ATH,ATH,1474.1,178,225,178-225,0.442,0,4-6,0.444,0.439
27,WSH,WSH,1467.2,178,228,178-228,0.438,0,3-7,0.448,0.429
28,LAA,LAA,1436.1,161,243,161-243,0.399,0,3-7,0.431,0.365
29,CWS,CWS,1411.9,152,251,152-251,0.377,0,5-5,0.417,0.337
30,COL,COL,1411.5,142,262,142-262,0.351,0,2-8,0.422,0.283
