feature,shap_value,signed_effect
sp_xwoba_vs_r_away,0.277732,positive
lineup_woba_mean_away,-0.23319,negative
sp_xwoba_vs_l_away,0.179738,positive
sp_xwoba_vs_r_home,0.152867,positive
team_exitvelo_15g_home,0.139366,positive
sp_fbvelo_3g_away,0.134961,positive
away_run_diff,0.126547,positive
sp_era_away,0.122876,positive
away_win_pct,0.083025,positive
team_exitvelo_15g_away,0.07705,positive
home_run_diff,0.069475,positive
sp_fbpct_3g_away,0.066084,positive
lineup_woba_top3_away,0.056966,positive
sp_k9_away,0.05271,positive
bullpen_ip_3d_away,-0.048493,negative
sp_fbvelo_3g_home,0.047154,positive
sp_xwoba_vs_l_home,0.04499,positive
opp_lefty_share_home,0.042098,positive
woba_30g_away,-0.041052,negative
sp_k9_30g_away,0.040722,positive
lineup_woba_top3_home,-0.037341,negative
bullpen_pitches_3d_home,0.034909,positive
bullpen_whip_10g_away,0.034684,positive
lineup_woba_std_home,-0.033456,negative
sp_fbpct_3g_home,-0.033191,negative
bullpen_pitches_3d_away,0.032783,positive
sp_k9_home,0.030168,positive
team_hardhit_15g_home,0.030054,positive
lineup_woba_mean_home,0.028592,positive
bullpen_whip_10g_home,-0.027078,negative
opp_lefty_share_away,0.025621,positive
team_hardhit_15g_away,0.02468,positive
woba_30g_home,-0.024519,negative
team_barrel_15g_home,0.023069,positive
home_win_pct,0.021012,positive
sp_whiff_3g_away,0.017301,positive
sp_whiff_3g_home,0.014658,positive
lineup_woba_std_away,0.013423,positive
bullpen_ip_3d_home,0.01214,positive
home_elo,0.007507,positive
team_barrel_15g_away,0.006497,positive
sp_era_30g_home,-0.006434,negative
sp_era_30g_away,0.005852,positive
sp_era_home,-0.003785,negative
rest_days_home,-0.002472,negative
sp_k9_30g_home,0.000843,positive
rest_days_away,0.000727,positive
