rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,MIL,MIL,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
2,PHI,PHI,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
3,NYY,NYY,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
4,BOS,BOS,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
5,MIA,MIA,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
6,BAL,BAL,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
7,CHW,CHW,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
8,HOU,HOU,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
9,KC,KC,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
10,TEX,TEX,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
11,COL,COL,1500.0,0,0,0-0,0.0,0,0-1,0.0,0.5
12,ARI,ARI,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
13,SD,SD,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
14,SEA,SEA,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
15,LAD,LAD,1500.0,0,0,0-0,0.0,0,1-0,1.0,0.5
