feature,shap_value,signed_effect
bullpen_whip_10g_home,0.554048,positive
team_hardhit_15g_away,-0.406236,negative
away_run_diff,0.182983,positive
bullpen_ip_3d_away,0.113794,positive
sp_xwoba_vs_r_home,0.099438,positive
lineup_woba_top3_away,0.096234,positive
team_exitvelo_15g_home,0.094695,positive
team_hardhit_15g_home,-0.083609,negative
team_exitvelo_15g_away,0.080071,positive
sp_whiff_3g_home,-0.074652,negative
sp_xwoba_vs_l_away,0.072562,positive
woba_30g_away,0.064319,positive
opp_lefty_share_away,-0.056473,negative
bullpen_pitches_3d_away,0.053284,positive
sp_era_away,0.051937,positive
sp_xwoba_vs_r_away,0.047718,positive
home_run_diff,-0.043721,negative
lineup_woba_std_away,0.042826,positive
lineup_woba_top3_home,0.042007,positive
home_win_pct,0.041725,positive
sp_fbvelo_3g_home,0.039251,positive
sp_era_home,0.037764,positive
bullpen_whip_10g_away,-0.035282,negative
sp_fbpct_3g_away,0.031108,positive
sp_k9_away,0.02843,positive
lineup_woba_std_home,0.025345,positive
away_win_pct,0.025194,positive
home_elo,0.024594,positive
sp_fbvelo_3g_away,-0.023337,negative
bullpen_pitches_3d_home,-0.022199,negative
team_barrel_15g_home,0.021885,positive
team_barrel_15g_away,-0.019478,negative
sp_fbpct_3g_home,-0.019101,negative
sp_whiff_3g_away,-0.018478,negative
sp_k9_30g_away,0.017323,positive
woba_30g_home,-0.016506,negative
sp_k9_home,-0.01076,negative
lineup_woba_mean_away,0.010082,positive
sp_era_30g_home,-0.009916,negative
sp_xwoba_vs_l_home,-0.006857,negative
sp_era_30g_away,0.006185,positive
rest_days_away,0.004147,positive
opp_lefty_share_home,0.003894,positive
sp_k9_30g_home,-0.002827,negative
lineup_woba_mean_home,0.002017,positive
bullpen_ip_3d_home,-0.001555,negative
rest_days_home,0.000643,positive
