feature,feature_key,shap_value,signed_effect
Away Elo,away_elo,0.05,positive
Away team record,away_record_pct,0.04,positive
Away wOBA (30g),away_woba_30g,0.03,positive
Pitcher ERA diff,sp_era_diff,0.03,positive
Home field,home_field,0.02,positive
Home team record,home_record_pct,-0.02,negative
Market vig,market_vig,-0.01,negative
Rest days,home_rest_days,0.01,positive
Bullpen WHIP (10g),bullpen_whip_10g,-0.01,negative
Home wOBA (30g),home_woba_30g,-0.005,negative
Total line,total_line,-0.003,negative
