rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,LAD,LAD,1567.4,186,126,186-126,0.596,0,6-4,0.628,0.564
2,MIL,MIL,1557.1,182,122,182-122,0.599,0,7-3,0.645,0.55
3,CHC,CHC,1543.7,172,132,172-132,0.566,0,4-6,0.609,0.523
4,NYY,NYY,1543.6,172,129,172-129,0.571,0,7-3,0.584,0.559
5,PHI,PHI,1541.9,171,129,171-129,0.57,0,8-2,0.616,0.523
6,TOR,TOR,1528.1,169,145,169-145,0.538,0,5-5,0.585,0.49
7,BOS,BOS,1525.7,163,135,163-135,0.547,0,7-3,0.558,0.536
8,SD,SD,1520.6,163,136,163-136,0.545,0,6-4,0.62,0.47
9,SEA,SEA,1517.0,160,148,160-148,0.519,0,6-4,0.587,0.451
10,CLE,CLE,1516.4,157,142,157-142,0.525,0,8-2,0.517,0.533
11,TB,TB,1514.2,156,139,156-139,0.529,0,5-5,0.571,0.486
12,HOU,HOU,1511.8,153,142,153-142,0.519,0,3-7,0.53,0.507
13,DET,DET,1507.4,153,150,153-150,0.505,0,2-8,0.537,0.474
14,ATL,ATL,1506.4,154,141,154-141,0.522,0,5-5,0.561,0.483
15,TEX,TEX,1502.5,147,149,147-149,0.497,0,5-5,0.575,0.42
16,AZ,AZ,1502.2,151,145,151-145,0.51,0,5-5,0.553,0.466
17,CIN,CIN,1498.5,146,152,146-152,0.49,0,4-6,0.517,0.463
18,STL,STL,1496.2,144,152,144-152,0.486,0,3-7,0.51,0.463
19,MIA,MIA,1493.9,147,149,147-149,0.497,0,5-5,0.533,0.459
20,NYM,NYM,1488.6,143,152,143-152,0.485,0,6-4,0.541,0.429
21,BAL,BAL,1488.3,140,155,140-155,0.475,0,5-5,0.49,0.459
22,KC,KC,1483.4,141,155,141-155,0.476,0,9-1,0.537,0.416
23,PIT,PIT,1479.3,136,161,136-161,0.458,0,5-5,0.531,0.387
24,SF,SF,1478.8,135,160,135-160,0.458,0,3-7,0.5,0.416
25,ATH,ATH,1473.2,129,167,129-167,0.436,0,4-6,0.415,0.456
26,MIN,MIN,1468.1,134,162,134-162,0.453,0,4-6,0.497,0.409
27,WSH,WSH,1467.0,128,169,128-169,0.431,0,2-8,0.408,0.453
28,CWS,CWS,1459.7,130,165,130-165,0.441,0,5-5,0.497,0.384
29,LAA,LAA,1451.4,124,172,124-172,0.419,0,3-7,0.456,0.381
30,COL,COL,1391.0,95,200,95-200,0.322,0,3-7,0.356,0.289
