rank,team,team_name,elo,w,l,pct,run_diff,l10,home_pct,away_pct,color
1,TB,Tampa Bay,1622,70,46,0.603,43,8-2,0.695,0.509,#092C5C
2,ATL,Atlanta,1620,71,47,0.602,89,6-4,0.641,0.564,#CE1141
3,CHC,Chicago,1595,69,50,0.58,71,7-3,0.577,0.583,#0E3386
4,NYY,New York,1570,66,52,0.559,82,5-5,0.527,0.587,#0C2340
5,BOS,Boston,1555,64,53,0.547,84,8-2,0.483,0.614,#BD3039
6,PHI,Philadelphia,1535,63,56,0.529,38,6-4,0.571,0.488,#E81828
7,CWS,Chicago,1520,60,56,0.517,35,5-5,0.614,0.424,#27251F
8,HOU,Houston,1510,60,58,0.508,-23,7-3,0.508,0.508,#EB6E1F
9,MIA,Miami,1505,60,59,0.504,12,5-5,0.542,0.467,#00A3E0
10,SD,San Diego,1488,58,60,0.492,28,6-4,0.525,0.46,#2F241D
11,LAD,Los Angeles,1485,68,51,0.571,118,7-3,0.59,0.552,#005A9C
12,SEA,Seattle,1478,56,62,0.475,9,5-5,0.508,0.441,#0C2C56
13,TEX,Texas,1470,58,60,0.492,-11,6-4,0.525,0.459,#003278
14,STL,St. Louis,1462,61,57,0.517,-4,4-6,0.542,0.492,#C41E3A
15,DET,Detroit,1455,57,61,0.483,-19,5-5,0.492,0.475,#0C2340
16,WSH,Washington,1448,59,61,0.492,-22,5-5,0.525,0.458,#C8102E
17,COL,Colorado,1440,55,63,0.466,-57,4-6,0.492,0.441,#333366
18,KC,Kansas City,1432,54,64,0.458,-34,4-6,0.475,0.441,#004687
19,CIN,Cincinnati,1428,56,61,0.479,-31,3-7,0.5,0.458,#C6011F
20,BAL,Baltimore,1420,52,66,0.441,-48,5-5,0.467,0.415,#DF4601
21,LAA,Los Angeles,1412,51,67,0.432,-62,3-7,0.458,0.407,#BA0021
22,NYM,New York,1405,52,67,0.437,-45,3-7,0.458,0.415,#FF5910
23,SF,San Francisco,1398,55,63,0.466,-29,4-6,0.492,0.441,#FD5A1E
24,TOR,Toronto,1395,56,63,0.471,-12,4-6,0.5,0.441,#134A8E
25,ATH,Athletics,1380,47,71,0.398,-96,4-6,0.424,0.373,#003831
26,ARI,Arizona,1372,46,72,0.39,-88,4-6,0.424,0.356,#A71930
27,MIL,Milwaukee,1365,48,70,0.407,-66,3-7,0.441,0.373,#12284B
28,MIN,Minnesota,1358,46,72,0.39,-71,4-6,0.424,0.356,#002B5C
29,CLE,Cleveland,1350,44,74,0.373,-83,2-8,0.407,0.339,#E31937
30,PIT,Pittsburgh,1345,58,62,0.483,-40,2-8,0.475,0.492,#FDB827
