feature,shap_value,signed_effect
home_elo,0.0,negative
home_win_pct,0.0,negative
away_win_pct,0.0,negative
sp_era_home,0.0,negative
sp_era_away,0.0,negative
sp_k9_home,0.0,negative
sp_k9_away,0.0,negative
woba_30g_home,0.0,negative
woba_30g_away,0.0,negative
bullpen_whip_10g_home,0.0,negative
bullpen_whip_10g_away,0.0,negative
rest_days_home,0.0,negative
rest_days_away,0.0,negative
sp_era_30g_home,0.0,negative
sp_era_30g_away,0.0,negative
sp_k9_30g_home,0.0,negative
sp_k9_30g_away,0.0,negative
home_run_diff,0.0,negative
away_run_diff,0.0,negative
sp_fbvelo_3g_home,0.0,negative
sp_fbvelo_3g_away,0.0,negative
sp_fbpct_3g_home,0.0,negative
sp_fbpct_3g_away,0.0,negative
sp_whiff_3g_home,0.0,negative
sp_whiff_3g_away,0.0,negative
sp_xwoba_vs_l_home,0.0,negative
sp_xwoba_vs_l_away,0.0,negative
sp_xwoba_vs_r_home,0.0,negative
sp_xwoba_vs_r_away,0.0,negative
team_barrel_15g_home,0.0,negative
team_barrel_15g_away,0.0,negative
team_hardhit_15g_home,0.0,negative
team_hardhit_15g_away,0.0,negative
team_exitvelo_15g_home,0.0,negative
team_exitvelo_15g_away,0.0,negative
opp_lefty_share_home,0.0,negative
opp_lefty_share_away,0.0,negative
bullpen_pitches_3d_home,0.0,negative
bullpen_pitches_3d_away,0.0,negative
bullpen_ip_3d_home,0.0,negative
bullpen_ip_3d_away,0.0,negative
lineup_woba_mean_home,0.0,negative
lineup_woba_mean_away,0.0,negative
lineup_woba_top3_home,0.0,negative
lineup_woba_top3_away,0.0,negative
lineup_woba_std_home,0.0,negative
lineup_woba_std_away,0.0,negative
