feature,shap_value,signed_effect
team_exitvelo_15g_away,-0.256322,negative
team_hardhit_15g_away,-0.179113,negative
lineup_woba_mean_away,-0.163724,negative
sp_xwoba_vs_l_away,0.142997,positive
team_hardhit_15g_home,0.100898,positive
sp_xwoba_vs_r_away,0.086351,positive
bullpen_whip_10g_away,0.077426,positive
sp_era_away,0.068528,positive
home_run_diff,-0.067538,negative
home_win_pct,-0.055633,negative
sp_whiff_3g_away,0.052527,positive
lineup_woba_top3_home,0.051374,positive
opp_lefty_share_home,0.045621,positive
bullpen_ip_3d_away,0.042896,positive
lineup_woba_top3_away,0.039315,positive
lineup_woba_mean_home,0.037086,positive
bullpen_pitches_3d_home,0.036541,positive
sp_xwoba_vs_r_home,0.034082,positive
sp_era_30g_away,0.033381,positive
team_barrel_15g_home,0.028688,positive
sp_fbvelo_3g_home,-0.026282,negative
away_run_diff,-0.024022,negative
sp_era_home,0.023931,positive
sp_whiff_3g_home,0.023763,positive
sp_xwoba_vs_l_home,0.023414,positive
bullpen_whip_10g_home,-0.019827,negative
away_win_pct,-0.018964,negative
sp_k9_away,0.018204,positive
team_barrel_15g_away,-0.016581,negative
sp_k9_30g_home,0.015706,positive
bullpen_ip_3d_home,-0.014314,negative
sp_era_30g_home,0.013829,positive
sp_fbpct_3g_home,-0.011349,negative
sp_k9_30g_away,0.007709,positive
team_exitvelo_15g_home,0.007283,positive
rest_days_away,0.006056,positive
bullpen_pitches_3d_away,0.005696,positive
woba_30g_away,0.00563,positive
sp_k9_home,-0.003621,negative
home_elo,0.003441,positive
sp_fbvelo_3g_away,0.00307,positive
lineup_woba_std_home,0.002242,positive
opp_lefty_share_away,-0.001144,negative
woba_30g_home,-0.001138,negative
lineup_woba_std_away,0.000812,positive
rest_days_home,-0.000293,negative
sp_fbpct_3g_away,0.000273,positive
