feature,shap_value,signed_effect
away_run_diff,-0.497571,negative
sp_era_home,-0.205146,negative
bullpen_whip_10g_home,-0.161185,negative
sp_xwoba_vs_l_away,0.144724,positive
sp_k9_away,0.127774,positive
sp_xwoba_vs_r_away,0.101658,positive
opp_lefty_share_home,0.100183,positive
team_hardhit_15g_home,-0.089021,negative
sp_xwoba_vs_l_home,-0.078522,negative
bullpen_whip_10g_away,0.073387,positive
lineup_woba_top3_away,-0.069469,negative
lineup_woba_mean_away,-0.068425,negative
sp_fbvelo_3g_home,-0.065776,negative
lineup_woba_std_home,-0.05475,negative
opp_lefty_share_away,0.045464,positive
lineup_woba_std_away,0.038337,positive
team_exitvelo_15g_home,0.037133,positive
team_barrel_15g_away,0.037062,positive
bullpen_ip_3d_away,-0.036541,negative
sp_fbpct_3g_home,0.03577,positive
away_win_pct,-0.033371,negative
sp_fbpct_3g_away,0.030327,positive
woba_30g_away,0.029243,positive
sp_fbvelo_3g_away,0.025359,positive
sp_era_away,0.024537,positive
bullpen_ip_3d_home,-0.022771,negative
team_barrel_15g_home,-0.020739,negative
sp_k9_30g_away,0.014457,positive
bullpen_pitches_3d_home,0.013689,positive
lineup_woba_mean_home,-0.013675,negative
home_win_pct,-0.013652,negative
team_exitvelo_15g_away,0.01155,positive
sp_era_30g_away,0.011415,positive
team_hardhit_15g_away,0.00867,positive
sp_era_30g_home,-0.008285,negative
sp_whiff_3g_home,0.00774,positive
sp_k9_home,0.006826,positive
home_run_diff,-0.006487,negative
bullpen_pitches_3d_away,-0.004962,negative
lineup_woba_top3_home,0.003486,positive
sp_xwoba_vs_r_home,-0.003146,negative
rest_days_away,-0.003119,negative
sp_whiff_3g_away,-0.002975,negative
sp_k9_30g_home,-0.002712,negative
rest_days_home,0.001869,positive
home_elo,0.000639,positive
woba_30g_home,-0.000119,negative
