rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,BUF,Buffalo Bills,1696.7,91,43,91-43,0.679,0,,,
2,SEA,Seattle Seahawks,1670.5,83,51,83-51,0.619,0,,,
3,PHI,Philadelphia Eagles,1654.3,82,51,82-51,0.617,0,,,
4,DEN,Denver Broncos,1624.7,62,72,62-72,0.463,0,,,
5,MIN,Minnesota Vikings,1615.4,77,56,77-56,0.579,0,,,
6,DET,Detroit Lions,1615.1,63,70,63-70,0.474,0,,,
7,BAL,Baltimore Ravens,1595.1,87,47,87-47,0.649,0,,,
8,PIT,Pittsburgh Steelers,1594.2,78,54,78-54,0.591,0,,,
9,LA,Los Angeles Rams,1592.1,81,53,81-53,0.604,0,,,
10,HOU,Houston Texans,1591.3,64,69,64-69,0.481,0,,,
11,SF,San Francisco 49ers,1591.2,77,57,77-57,0.575,0,,,
12,KC,Kansas City Chiefs,1568.7,97,37,97-37,0.724,0,,,
13,GB,Green Bay Packers,1552.2,82,50,82-50,0.621,0,,,
14,LAC,Los Angeles Chargers,1546.9,70,64,70-64,0.522,0,,,
15,JAX,Jacksonville Jaguars,1546.0,51,83,51-83,0.381,0,,,
16,NE,New England Patriots,1536.1,70,64,70-64,0.522,0,,,
17,CHI,Chicago Bears,1523.2,61,73,61-73,0.455,0,,,
18,CIN,Cincinnati Bengals,1498.6,59,73,59-73,0.447,0,,,
19,DAL,Dallas Cowboys,1462.6,74,59,74-59,0.556,0,,,
20,TB,Tampa Bay Buccaneers,1462.6,71,63,71-63,0.53,0,,,
21,MIA,Miami Dolphins,1445.4,66,68,66-68,0.493,0,,,
22,ATL,Atlanta Falcons,1438.2,55,79,55-79,0.41,0,,,
23,WAS,Washington Commanders,1433.9,53,80,53-80,0.398,0,,,
24,IND,Indianapolis Colts,1430.5,66,67,66-67,0.496,0,,,
25,OAK,Oakland Raiders,1427.1,11,21,11-21,0.344,0,,,
26,CLE,Cleveland Browns,1385.7,58,75,58-75,0.436,0,,,
27,NO,New Orleans Saints,1380.2,74,60,74-60,0.552,0,,,
28,CAR,Carolina Panthers,1376.8,44,90,44-90,0.328,0,,,
29,NYG,New York Giants,1358.0,42,91,42-91,0.316,0,,,
30,ARI,Arizona Cardinals,1347.6,47,86,47-86,0.353,0,,,
31,LV,Las Vegas Raiders,1337.1,40,62,40-62,0.392,0,,,
32,NYJ,New York Jets,1332.4,40,94,40-94,0.299,0,,,
33,TEN,Tennessee Titans,1269.7,60,74,60-74,0.448,0,,,
