rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,KC,KC,1697.6,100,36,100-36,0.735,769,2-8,0.767,0.698
2,BUF,BUF,1639.2,91,40,91-40,0.695,1001,7-3,0.779,0.603
3,GB,GB,1601.4,80,46,80-46,0.635,458,4-6,0.726,0.547
4,BAL,BAL,1601.2,79,46,79-46,0.632,829,6-4,0.619,0.645
5,SF,SF,1593.4,81,50,81-50,0.618,604,7-3,0.609,0.627
6,PHI,PHI,1566.2,78,50,78-50,0.609,427,5-5,0.642,0.574
7,LA,LA,1562.8,76,53,76-53,0.589,338,6-4,0.656,0.529
8,TB,TB,1554.2,72,55,72-55,0.567,421,3-7,0.547,0.587
9,SEA,SEA,1553.4,76,48,76-48,0.613,320,10-0,0.574,0.651
10,PIT,PIT,1550.4,68,54,68-54,0.557,-64,5-5,0.623,0.492
11,MIN,MIN,1541.5,69,52,69-52,0.57,112,6-4,0.61,0.532
12,DAL,DAL,1529.8,65,56,65-56,0.537,356,4-6,0.6,0.475
13,NO,NO,1520.4,62,58,62-58,0.517,210,5-5,0.508,0.525
14,OAK,OAK,1500.1,7,9,7-9,0.438,-106,4-6,0.625,0.25
15,MIA,MIA,1499.5,59,60,59-60,0.496,-169,6-4,0.627,0.367
16,CIN,CIN,1494.3,58,65,58-65,0.472,-101,3-7,0.492,0.452
17,NE,NE,1492.4,62,61,62-61,0.504,231,8-2,0.476,0.533
18,TEN,TEN,1488.4,53,69,53-69,0.434,-276,2-8,0.426,0.443
19,IND,IND,1487.5,57,61,57-61,0.483,7,2-8,0.542,0.424
20,CLE,CLE,1482.3,52,68,52-68,0.433,-379,3-7,0.559,0.311
21,DET,DET,1481.2,60,61,60-61,0.496,8,4-6,0.508,0.483
22,LAC,LAC,1480.5,58,62,58-62,0.483,15,6-4,0.492,0.475
23,DEN,DEN,1460.9,57,63,57-63,0.475,-92,8-2,0.574,0.373
24,LV,LV,1458.3,39,63,39-63,0.382,-454,1-9,0.412,0.353
25,HOU,HOU,1452.0,57,68,57-68,0.456,-244,9-1,0.484,0.429
26,ARI,ARI,1446.8,43,75,43-75,0.364,-324,1-9,0.328,0.4
27,WAS,WAS,1436.2,49,72,49-72,0.405,-497,2-8,0.356,0.452
28,CHI,CHI,1436.0,49,71,49-71,0.408,-313,6-4,0.467,0.35
29,ATL,ATL,1433.5,48,69,48-69,0.41,-337,5-5,0.448,0.373
30,NYG,NYG,1397.8,37,82,37-82,0.311,-716,2-8,0.362,0.262
31,JAX,JAX,1395.0,46,74,46-74,0.383,-413,8-2,0.443,0.322
32,NYJ,NYJ,1390.2,35,82,35-82,0.299,-867,3-7,0.356,0.241
33,CAR,CAR,1375.8,37,81,37-81,0.314,-754,4-6,0.356,0.271
