feature,window,n_games,pct_measured,pct_nonnull,n_default_zero,status
elo_diff,decided pool,2144,100.0,100.0,0,OK
win_pct_diff,decided pool,2144,99.21,99.21,0,OK
rest_days_diff,decided pool,2144,99.21,99.21,0,OK
is_dome_home,decided pool,2144,98.09,98.09,0,OK
ewm_net_pts_diff,decided pool,2144,99.21,99.21,0,OK
ewm_ypp_diff,decided pool,2144,97.76,97.76,0,OK
pace_plays_min_diff,decided pool,2144,97.76,97.76,0,OK
rest_short_diff,decided pool,2144,99.21,99.21,0,OK
div_game,decided pool,2144,100.0,100.0,0,OK
travel_miles_diff,decided pool,2144,99.81,99.81,0,OK
altitude_home,decided pool,2144,99.81,99.81,0,OK
prime_time,decided pool,2144,100.0,100.0,0,OK
