rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,BUF,Buffalo Bills,1670.2,89,43,89-43,0.674,0,,,
2,SEA,Seattle Seahawks,1659.5,82,51,82-51,0.617,0,,,
3,PHI,Philadelphia Eagles,1646.7,81,51,81-51,0.614,0,,,
4,DEN,Denver Broncos,1645.0,62,71,62-71,0.466,0,,,
5,DET,Detroit Lions,1622.0,62,69,62-69,0.473,0,,,
6,LA,Los Angeles Rams,1609.7,81,52,81-52,0.609,0,,,
7,HOU,Houston Texans,1604.3,64,68,64-68,0.485,0,,,
8,MIN,Minnesota Vikings,1600.9,76,56,76-56,0.576,0,,,
9,BAL,Baltimore Ravens,1585.5,86,47,86-47,0.647,0,,,
10,PIT,Pittsburgh Steelers,1584.1,77,54,77-54,0.588,0,,,
11,SF,San Francisco 49ers,1573.5,76,57,76-57,0.571,0,,,
12,LAC,Los Angeles Chargers,1572.8,70,63,70-63,0.526,0,,,
13,GB,Green Bay Packers,1566.6,82,49,82-49,0.626,0,,,
14,KC,Kansas City Chiefs,1548.3,96,37,96-37,0.722,0,,,
15,NE,New England Patriots,1547.1,70,63,70-63,0.526,0,,,
16,JAX,Jacksonville Jaguars,1536.2,50,83,50-83,0.376,0,,,
17,CHI,Chicago Bears,1512.8,60,73,60-73,0.451,0,,,
18,DAL,Dallas Cowboys,1485.1,74,58,74-58,0.561,0,,,
19,CIN,Cincinnati Bengals,1482.8,58,73,58-73,0.443,0,,,
20,TB,Tampa Bay Buccaneers,1478.4,71,62,71-62,0.534,0,,,
21,MIA,Miami Dolphins,1468.0,66,67,66-67,0.496,0,,,
22,ATL,Atlanta Falcons,1448.2,55,78,55-78,0.414,0,,,
23,WAS,Washington Commanders,1441.4,53,79,53-79,0.402,0,,,
24,IND,Indianapolis Colts,1440.2,66,66,66-66,0.5,0,,,
25,OAK,Oakland Raiders,1427.1,11,21,11-21,0.344,0,,,
26,CLE,Cleveland Browns,1395.6,58,74,58-74,0.439,0,,,
27,CAR,Carolina Panthers,1387.3,44,89,44-89,0.331,0,,,
28,NO,New Orleans Saints,1386.7,74,59,74-59,0.556,0,,,
29,NYG,New York Giants,1335.5,41,91,41-91,0.311,0,,,
30,ARI,Arizona Cardinals,1321.7,46,86,46-86,0.348,0,,,
31,NYJ,New York Jets,1317.9,39,94,39-94,0.293,0,,,
32,LV,Las Vegas Raiders,1314.5,39,62,39-62,0.386,0,,,
33,TEN,Tennessee Titans,1284.2,60,73,60-73,0.451,0,,,
