rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,BUF,Buffalo Bills,1699.4,107,59,107-59,0.645,0,,,
2,SEA,Seattle Seahawks,1677.6,103,63,103-63,0.62,0,,,
3,PHI,Philadelphia Eagles,1660.9,103,63,103-63,0.62,0,,,
4,DEN,Denver Broncos,1639.1,77,90,77-90,0.461,0,,,
5,MIN,Minnesota Vikings,1630.2,99,67,99-67,0.596,0,,,
6,DET,Detroit Lions,1618.0,81,84,81-84,0.491,0,,,
7,SF,San Francisco 49ers,1603.3,86,81,86-81,0.515,0,,,
8,LA,Los Angeles Rams,1601.5,97,70,97-70,0.581,0,,,
9,KC,Kansas City Chiefs,1581.6,120,47,120-47,0.719,0,,,
10,PIT,Pittsburgh Steelers,1577.6,102,63,102-63,0.618,0,,,
11,HOU,Houston Texans,1572.4,77,89,77-89,0.464,0,,,
12,BAL,Baltimore Ravens,1572.2,104,63,104-63,0.623,0,,,
13,GB,Green Bay Packers,1562.1,100,65,100-65,0.606,0,,,
14,NE,New England Patriots,1557.4,98,69,98-69,0.587,0,,,
15,JAX,Jacksonville Jaguars,1534.7,64,103,64-103,0.383,0,,,
16,LAC,Los Angeles Chargers,1524.8,79,72,79-72,0.523,0,,,
17,CIN,Cincinnati Bengals,1520.4,73,91,73-91,0.445,0,,,
18,CHI,Chicago Bears,1513.9,69,98,69-98,0.413,0,,,
19,DAL,Dallas Cowboys,1480.7,97,69,97-69,0.584,0,,,
20,TB,Tampa Bay Buccaneers,1446.2,85,82,85-82,0.509,0,,,
21,MIA,Miami Dolphins,1437.9,82,85,82-85,0.491,0,,,
22,SD,San Diego Chargers,1424.1,5,11,5-11,0.312,0,,,
23,OAK,Oakland Raiders,1423.8,29,35,29-35,0.453,0,,,
24,ATL,Atlanta Falcons,1422.8,76,91,76-91,0.455,0,,,
25,WAS,Washington Commanders,1422.4,68,97,68-97,0.412,0,,,
26,IND,Indianapolis Colts,1422.0,78,88,78-88,0.47,0,,,
27,NO,New Orleans Saints,1408.3,93,74,93-74,0.557,0,,,
28,CLE,Cleveland Browns,1406.3,60,106,60-106,0.361,0,,,
29,CAR,Carolina Panthers,1399.1,62,105,62-105,0.371,0,,,
30,LV,Las Vegas Raiders,1364.0,41,62,41-62,0.398,0,,,
31,NYG,New York Giants,1354.4,56,110,56-110,0.337,0,,,
32,ARI,Arizona Cardinals,1345.9,62,103,62-103,0.376,0,,,
33,NYJ,New York Jets,1327.0,50,117,50-117,0.299,0,,,
34,TEN,Tennessee Titans,1268.0,78,89,78-89,0.467,0,,,
