feature,window,n_games,pct_measured,pct_nonnull,n_default_zero,status
elo_diff,decided pool,2672,100.0,100.0,0,OK
win_pct_diff,decided pool,2672,99.33,99.33,0,OK
rest_days_diff,decided pool,2672,93.38,93.38,0,OK
is_dome_home,decided pool,2672,100.0,100.0,0,OK
ewm_net_pts_diff,decided pool,2672,99.33,99.33,0,OK
ewm_ypp_diff,decided pool,2672,96.48,96.48,0,OK
pace_plays_min_diff,decided pool,2672,96.48,96.48,0,OK
rest_short_diff,decided pool,2672,93.38,93.38,0,OK
div_game,decided pool,2672,100.0,100.0,0,OK
travel_miles_diff,decided pool,2672,98.62,98.62,0,OK
altitude_home,decided pool,2672,100.0,100.0,0,OK
prime_time,decided pool,2672,100.0,100.0,0,OK
is_turf_home,decided pool,2672,98.35,98.35,0,OK
temp_f,decided pool,2672,71.03,71.03,0,LOW_COVERAGE
wind_mph,decided pool,2672,71.03,71.03,0,LOW_COVERAGE
is_precip,decided pool,2672,71.03,71.03,0,LOW_COVERAGE
is_snow,decided pool,2672,71.03,71.03,0,LOW_COVERAGE
pbp_air_yards_att_ewm_diff,decided pool,2672,96.48,96.48,0,OK
pbp_air_yards_att_ewm_home,decided pool,2672,97.9,97.9,0,OK
pbp_air_yards_att_ewm_away,decided pool,2672,97.9,97.9,0,OK
elo_home,decided pool,2672,100.0,100.0,0,OK
elo_away,decided pool,2672,100.0,100.0,0,OK
win_pct_home,decided pool,2672,99.4,99.4,0,OK
win_pct_away,decided pool,2672,99.33,99.33,0,OK
ewm_net_pts_home,decided pool,2672,99.4,99.4,0,OK
ewm_net_pts_away,decided pool,2672,99.33,99.33,0,OK
ewm_ypp_home,decided pool,2672,97.9,97.9,0,OK
ewm_ypp_away,decided pool,2672,97.9,97.9,0,OK
rest_days_home,decided pool,2672,93.41,93.41,0,OK
rest_days_away,decided pool,2672,93.41,93.41,0,OK
is_home,decided pool,2672,100.0,100.0,0,OK
