rank,team,team_name,elo,wins,losses,record,pct,run_diff,l10,home_pct,away_pct
1,KC,KC,1674.7,96,37,96-37,0.722,811,2-8,0.746,0.697
2,BAL,BAL,1607.6,86,47,86-47,0.647,932,6-4,0.642,0.652
3,BUF,BUF,1606.8,89,43,89-43,0.674,852,7-3,0.746,0.6
4,GB,GB,1587.5,83,50,83-50,0.624,443,4-6,0.727,0.522
5,LA,LA,1568.4,81,52,81-52,0.609,440,7-3,0.667,0.552
6,PIT,PIT,1561.6,78,55,78-55,0.586,88,6-4,0.642,0.53
7,PHI,PHI,1558.1,81,52,81-52,0.609,377,6-4,0.636,0.582
8,SEA,SEA,1557.6,82,51,82-51,0.617,371,9-1,0.591,0.642
9,NO,NO,1549.5,74,59,74-59,0.556,365,5-5,0.545,0.567
10,SF,SF,1548.3,76,57,76-57,0.571,509,7-3,0.561,0.582
11,MIN,MIN,1546.3,77,56,77-56,0.579,167,6-4,0.621,0.537
12,DAL,DAL,1538.4,74,59,74-59,0.556,383,4-6,0.652,0.463
13,TB,TB,1523.3,71,62,71-62,0.534,300,3-7,0.545,0.522
14,NE,NE,1509.3,70,63,70-63,0.526,367,9-1,0.537,0.515
15,LAC,LAC,1508.4,70,63,70-63,0.526,148,7-3,0.507,0.545
16,IND,IND,1503.1,67,66,67-66,0.504,99,2-8,0.567,0.439
17,TEN,TEN,1497.0,60,73,60-73,0.451,-271,2-8,0.478,0.424
18,MIA,MIA,1495.2,66,67,66-67,0.496,-261,6-4,0.642,0.348
19,CLE,CLE,1484.1,58,75,58-75,0.436,-387,3-7,0.567,0.303
20,DET,DET,1471.1,64,69,64-69,0.481,-20,4-6,0.485,0.478
21,CIN,CIN,1469.8,59,73,59-73,0.447,-219,3-7,0.485,0.409
22,HOU,HOU,1468.2,64,69,64-69,0.481,-171,9-1,0.493,0.47
23,CHI,CHI,1466.1,60,73,60-73,0.451,-164,7-3,0.515,0.388
24,LV,LV,1465.1,39,62,39-62,0.386,-447,1-9,0.412,0.36
25,DEN,DEN,1455.7,62,71,62-71,0.466,-88,9-1,0.552,0.379
26,OAK,OAK,1441.3,11,21,11-21,0.344,-283,4-6,0.5,0.188
27,ATL,ATL,1435.4,55,78,55-78,0.414,-346,5-5,0.455,0.373
28,WAS,WAS,1434.0,54,79,54-79,0.406,-552,2-8,0.364,0.448
29,ARI,ARI,1425.3,46,87,46-87,0.346,-501,1-9,0.303,0.388
30,NYG,NYG,1390.8,41,92,41-92,0.308,-735,2-8,0.348,0.269
31,JAX,JAX,1390.1,50,83,50-83,0.376,-475,9-1,0.433,0.318
32,CAR,CAR,1384.6,44,89,44-89,0.331,-757,4-6,0.394,0.269
33,NYJ,NYJ,1379.4,39,94,39-94,0.293,-975,3-7,0.343,0.242
